severity level,percentile,ood-auroc,ood_avg_conf,id-acc,id-auroc,id_avg_conf,model name,confidence function,model name - confidence function
0,0.0,0.9114415644,0.19072088599205014,0.6238,0.8064538314414287,0.6133489012718201,CLIP_RN101,softmax,CLIP_RN101-softmax
1,0.1,0.8645183616,0.2495410591363907,0.6238,0.8064538314414287,0.6133489012718201,CLIP_RN101,softmax,CLIP_RN101-softmax
2,0.2,0.8268515612,0.2927839159965515,0.6238,0.8064538314414287,0.6133489012718201,CLIP_RN101,softmax,CLIP_RN101-softmax
3,0.30000000000000004,0.7960851151999999,0.3265470266342163,0.6238,0.8064538314414287,0.6133489012718201,CLIP_RN101,softmax,CLIP_RN101-softmax
4,0.4,0.768053842,0.35659703612327576,0.6238,0.8064538314414287,0.6133489012718201,CLIP_RN101,softmax,CLIP_RN101-softmax
5,0.5,0.7403935888,0.3849573135375977,0.6238,0.8064538314414287,0.6133489012718201,CLIP_RN101,softmax,CLIP_RN101-softmax
6,0.6000000000000001,0.7060737044,0.41934797167778015,0.6238,0.8064538314414287,0.6133489012718201,CLIP_RN101,softmax,CLIP_RN101-softmax
7,0.7000000000000001,0.6719212412000001,0.4529165625572205,0.6238,0.8064538314414287,0.6133489012718201,CLIP_RN101,softmax,CLIP_RN101-softmax
8,0.8,0.6324954984000001,0.4916246235370636,0.6238,0.8064538314414287,0.6133489012718201,CLIP_RN101,softmax,CLIP_RN101-softmax
9,0.9,0.5852713524000001,0.5375218987464905,0.6238,0.8064538314414287,0.6133489012718201,CLIP_RN101,softmax,CLIP_RN101-softmax
10,1.0,0.4737630268,0.6425646543502808,0.6238,0.8064538314414287,0.6133489012718201,CLIP_RN101,softmax,CLIP_RN101-softmax
