severity level,percentile,ood-auroc,ood_avg_conf,id-acc,id-auroc,id_avg_conf,model name,confidence function,model name - confidence function
0,0.0,0.9657112056,-3.784111976623535,0.7457,0.8209028699924396,-0.6867789030075073,CLIP_RN50x64,entropy,CLIP_RN50x64-entropy
1,0.09999999999999998,0.9452527608,-3.191035509109497,0.7457,0.8209028699924396,-0.6867789030075073,CLIP_RN50x64,entropy,CLIP_RN50x64-entropy
2,0.19999999999999996,0.9250080216000001,-2.836005210876465,0.7457,0.8209028699924396,-0.6867789030075073,CLIP_RN50x64,entropy,CLIP_RN50x64-entropy
3,0.29999999999999993,0.9011122864,-2.527618169784546,0.7457,0.8209028699924396,-0.6867789030075073,CLIP_RN50x64,entropy,CLIP_RN50x64-entropy
4,0.3999999999999999,0.877226046,-2.2608156204223637,0.7457,0.8209028699924396,-0.6867789030075073,CLIP_RN50x64,entropy,CLIP_RN50x64-entropy
5,0.5,0.8504757884,-2.0098323822021484,0.7457,0.8209028699924396,-0.6867789030075073,CLIP_RN50x64,entropy,CLIP_RN50x64-entropy
6,0.6,0.8199709239999999,-1.7992798089981081,0.7457,0.8209028699924396,-0.6867789030075073,CLIP_RN50x64,entropy,CLIP_RN50x64-entropy
7,0.7,0.7851024968,-1.5871247053146362,0.7457,0.8209028699924396,-0.6867789030075073,CLIP_RN50x64,entropy,CLIP_RN50x64-entropy
8,0.8,0.7454784532000001,-1.3765919208526611,0.7457,0.8209028699924396,-0.6867789030075073,CLIP_RN50x64,entropy,CLIP_RN50x64-entropy
9,0.9,0.6885700539999999,-1.1311204433441162,0.7457,0.8209028699924396,-0.6867789030075073,CLIP_RN50x64,entropy,CLIP_RN50x64-entropy
10,1.0,0.5735377295999999,-0.7799938917160034,0.7457,0.8209028699924396,-0.6867789030075073,CLIP_RN50x64,entropy,CLIP_RN50x64-entropy
