severity level,percentile,ood-auroc,ood_avg_conf,id-acc,id-auroc,id_avg_conf,model name,confidence function,model name - confidence function
0,0.0,0.9347682928,-6.907708507891541,0.76618,0.8292954732302886,-6.907306328447789,CLIP_finetuned_RN50x4,entropy,CLIP_finetuned_RN50x4-entropy
1,0.09999999999999998,0.9068499424,-6.907689410702113,0.76618,0.8292954732302886,-6.907306328447789,CLIP_finetuned_RN50x4,entropy,CLIP_finetuned_RN50x4-entropy
2,0.19999999999999996,0.8795983668,-6.907670123273397,0.76618,0.8292954732302886,-6.907306328447789,CLIP_finetuned_RN50x4,entropy,CLIP_finetuned_RN50x4-entropy
3,0.29999999999999993,0.854408512,-6.907653097773318,0.76618,0.8292954732302886,-6.907306328447789,CLIP_finetuned_RN50x4,entropy,CLIP_finetuned_RN50x4-entropy
4,0.3999999999999999,0.8285550260000001,-6.907633619811097,0.76618,0.8292954732302886,-6.907306328447789,CLIP_finetuned_RN50x4,entropy,CLIP_finetuned_RN50x4-entropy
5,0.5,0.804653886,-6.907614767399982,0.76618,0.8292954732302886,-6.907306328447789,CLIP_finetuned_RN50x4,entropy,CLIP_finetuned_RN50x4-entropy
6,0.6,0.7744108576000001,-6.907589634833528,0.76618,0.8292954732302886,-6.907306328447789,CLIP_finetuned_RN50x4,entropy,CLIP_finetuned_RN50x4-entropy
7,0.7,0.7448434604,-6.907564074068554,0.76618,0.8292954732302886,-6.907306328447789,CLIP_finetuned_RN50x4,entropy,CLIP_finetuned_RN50x4-entropy
8,0.8,0.7014276948,-6.907523509446766,0.76618,0.8292954732302886,-6.907306328447789,CLIP_finetuned_RN50x4,entropy,CLIP_finetuned_RN50x4-entropy
9,0.9,0.6519518004,-6.9074749766239965,0.76618,0.8292954732302886,-6.907306328447789,CLIP_finetuned_RN50x4,entropy,CLIP_finetuned_RN50x4-entropy
10,1.0,0.5432218864,-6.907355598824093,0.76618,0.8292954732302886,-6.907306328447789,CLIP_finetuned_RN50x4,entropy,CLIP_finetuned_RN50x4-entropy
