severity level,percentile,ood-auroc,ood_avg_conf,id-acc,id-auroc,id_avg_conf,model name,confidence function,model name - confidence function
0,0.0,0.9140332264,0.044791847467422485,0.80958,0.8097853589257508,0.10547344386577606,cait_xxs24_384,odin_temperature-2_noise_mag-1e-05,cait_xxs24_384-odin_temperature-2_noise_mag-1e-05
1,0.1,0.89023821,0.049701284617185586,0.80958,0.8097853589257508,0.10547344386577606,cait_xxs24_384,odin_temperature-2_noise_mag-1e-05,cait_xxs24_384-odin_temperature-2_noise_mag-1e-05
2,0.2,0.8711176192,0.053207378834486015,0.80958,0.8097853589257508,0.10547344386577606,cait_xxs24_384,odin_temperature-2_noise_mag-1e-05,cait_xxs24_384-odin_temperature-2_noise_mag-1e-05
3,0.30000000000000004,0.8488711828,0.05722565576434136,0.80958,0.8097853589257508,0.10547344386577606,cait_xxs24_384,odin_temperature-2_noise_mag-1e-05,cait_xxs24_384-odin_temperature-2_noise_mag-1e-05
4,0.4,0.8283485723999999,0.06085837259888649,0.80958,0.8097853589257508,0.10547344386577606,cait_xxs24_384,odin_temperature-2_noise_mag-1e-05,cait_xxs24_384-odin_temperature-2_noise_mag-1e-05
5,0.5,0.8072358079999999,0.0646357536315918,0.80958,0.8097853589257508,0.10547344386577606,cait_xxs24_384,odin_temperature-2_noise_mag-1e-05,cait_xxs24_384-odin_temperature-2_noise_mag-1e-05
6,0.6000000000000001,0.7814031840000001,0.06873609125614166,0.80958,0.8097853589257508,0.10547344386577606,cait_xxs24_384,odin_temperature-2_noise_mag-1e-05,cait_xxs24_384-odin_temperature-2_noise_mag-1e-05
7,0.7000000000000001,0.7582746387999999,0.07241028547286987,0.80958,0.8097853589257508,0.10547344386577606,cait_xxs24_384,odin_temperature-2_noise_mag-1e-05,cait_xxs24_384-odin_temperature-2_noise_mag-1e-05
8,0.8,0.727273542,0.07679455727338791,0.80958,0.8097853589257508,0.10547344386577606,cait_xxs24_384,odin_temperature-2_noise_mag-1e-05,cait_xxs24_384-odin_temperature-2_noise_mag-1e-05
9,0.9,0.6829380544,0.0828620046377182,0.80958,0.8097853589257508,0.10547344386577606,cait_xxs24_384,odin_temperature-2_noise_mag-1e-05,cait_xxs24_384-odin_temperature-2_noise_mag-1e-05
10,1.0,0.5892771512,0.09489524364471437,0.80958,0.8097853589257508,0.10547344386577606,cait_xxs24_384,odin_temperature-2_noise_mag-1e-05,cait_xxs24_384-odin_temperature-2_noise_mag-1e-05
