severity level,percentile,ood-auroc,ood_avg_conf,id-acc,id-auroc,id_avg_conf,model name,confidence function,model name - confidence function
0,0.0,0.9254608448,-3.2031209468841557,0.8220200000000001,0.8418594048899556,-1.1747044324874878,cait_xxs36_384,entropy,cait_xxs36_384-entropy
1,0.09999999999999998,0.903384606,-2.94184684753418,0.8220200000000001,0.8418594048899556,-1.1747044324874878,cait_xxs36_384,entropy,cait_xxs36_384-entropy
2,0.19999999999999996,0.8883239996,-2.7931034564971924,0.8220200000000001,0.8418594048899556,-1.1747044324874878,cait_xxs36_384,entropy,cait_xxs36_384-entropy
3,0.29999999999999993,0.871601232,-2.656806468963623,0.8220200000000001,0.8418594048899556,-1.1747044324874878,cait_xxs36_384,entropy,cait_xxs36_384-entropy
4,0.3999999999999999,0.8544920112,-2.5171711444854736,0.8220200000000001,0.8418594048899556,-1.1747044324874878,cait_xxs36_384,entropy,cait_xxs36_384-entropy
5,0.5,0.8357948384,-2.380993366241455,0.8220200000000001,0.8418594048899556,-1.1747044324874878,cait_xxs36_384,entropy,cait_xxs36_384-entropy
6,0.6,0.8125643504,-2.220388650894165,0.8220200000000001,0.8418594048899556,-1.1747044324874878,cait_xxs36_384,entropy,cait_xxs36_384-entropy
7,0.7,0.791101272,-2.086142301559448,0.8220200000000001,0.8418594048899556,-1.1747044324874878,cait_xxs36_384,entropy,cait_xxs36_384-entropy
8,0.8,0.7600985396,-1.9365596771240237,0.8220200000000001,0.8418594048899556,-1.1747044324874878,cait_xxs36_384,entropy,cait_xxs36_384-entropy
9,0.9,0.7247428224,-1.7669904232025146,0.8220200000000001,0.8418594048899556,-1.1747044324874878,cait_xxs36_384,entropy,cait_xxs36_384-entropy
10,1.0,0.6187184028,-1.423051834106445,0.8220200000000001,0.8418594048899556,-1.1747044324874878,cait_xxs36_384,entropy,cait_xxs36_384-entropy
