severity level,percentile,ood-auroc,ood_avg_conf,id-acc,id-auroc,id_avg_conf,model name,confidence function,model name - confidence function
0,0.0,0.913721724,-4.187854766845703,0.79102,0.8205391382949656,-2.0006086826324463,coat_lite_mini,entropy,coat_lite_mini-entropy
1,0.09999999999999998,0.8917979844,-3.934313058853149,0.79102,0.8205391382949656,-2.0006086826324463,coat_lite_mini,entropy,coat_lite_mini-entropy
2,0.19999999999999996,0.8738749487999999,-3.763901233673096,0.79102,0.8205391382949656,-2.0006086826324463,coat_lite_mini,entropy,coat_lite_mini-entropy
3,0.29999999999999993,0.8552723248,-3.614854097366333,0.79102,0.8205391382949656,-2.0006086826324463,coat_lite_mini,entropy,coat_lite_mini-entropy
4,0.3999999999999999,0.8365711748,-3.4805853366851807,0.79102,0.8205391382949656,-2.0006086826324463,coat_lite_mini,entropy,coat_lite_mini-entropy
5,0.5,0.8126120952,-3.324363470077514,0.79102,0.8205391382949656,-2.0006086826324463,coat_lite_mini,entropy,coat_lite_mini-entropy
6,0.6,0.7844637355999999,-3.132554054260254,0.79102,0.8205391382949656,-2.0006086826324463,coat_lite_mini,entropy,coat_lite_mini-entropy
7,0.7,0.7600735932,-2.971588134765625,0.79102,0.8205391382949656,-2.0006086826324463,coat_lite_mini,entropy,coat_lite_mini-entropy
8,0.8,0.7282244008000001,-2.8099753856658936,0.79102,0.8205391382949656,-2.0006086826324463,coat_lite_mini,entropy,coat_lite_mini-entropy
9,0.9,0.6888486264,-2.5990607738494877,0.79102,0.8205391382949656,-2.0006086826324463,coat_lite_mini,entropy,coat_lite_mini-entropy
10,1.0,0.5921413200000001,-2.2357888221740723,0.79102,0.8205391382949656,-2.0006086826324463,coat_lite_mini,entropy,coat_lite_mini-entropy
