severity level,percentile,ood-auroc,ood_avg_conf,id-acc,id-auroc,id_avg_conf,model name,confidence function,model name - confidence function
0,0.0,0.9121811432,-4.233455181121826,0.77512,0.8207529377074179,-2.0741970539093018,coat_lite_tiny,entropy,coat_lite_tiny-entropy
1,0.09999999999999998,0.8869030128,-3.94735598564148,0.77512,0.8207529377074179,-2.0741970539093018,coat_lite_tiny,entropy,coat_lite_tiny-entropy
2,0.19999999999999996,0.8695099712,-3.7785332202911377,0.77512,0.8207529377074179,-2.0741970539093018,coat_lite_tiny,entropy,coat_lite_tiny-entropy
3,0.29999999999999993,0.8536301900000001,-3.658671617507935,0.77512,0.8207529377074179,-2.0741970539093018,coat_lite_tiny,entropy,coat_lite_tiny-entropy
4,0.3999999999999999,0.8330312272,-3.5168240070343018,0.77512,0.8207529377074179,-2.0741970539093018,coat_lite_tiny,entropy,coat_lite_tiny-entropy
5,0.5,0.8081223136,-3.3512277603149414,0.77512,0.8207529377074179,-2.0741970539093018,coat_lite_tiny,entropy,coat_lite_tiny-entropy
6,0.6,0.7861104412,-3.2030408382415767,0.77512,0.8207529377074179,-2.0741970539093018,coat_lite_tiny,entropy,coat_lite_tiny-entropy
7,0.7,0.7604923844,-3.0524811744689937,0.77512,0.8207529377074179,-2.0741970539093018,coat_lite_tiny,entropy,coat_lite_tiny-entropy
8,0.8,0.7281679640000001,-2.890277862548828,0.77512,0.8207529377074179,-2.0741970539093018,coat_lite_tiny,entropy,coat_lite_tiny-entropy
9,0.9,0.6862987067999999,-2.6878490447998047,0.77512,0.8207529377074179,-2.0741970539093018,coat_lite_tiny,entropy,coat_lite_tiny-entropy
10,1.0,0.588660932,-2.3119843006134038,0.77512,0.8207529377074179,-2.0741970539093018,coat_lite_tiny,entropy,coat_lite_tiny-entropy
