severity level,percentile,ood-auroc,ood_avg_conf,id-acc,id-auroc,id_avg_conf,model name,confidence function,model name - confidence function
0,0.0,0.9254093176,-3.873224258422852,0.81288,0.834333498312904,-1.6768296957015991,coat_mini,entropy,coat_mini-entropy
1,0.09999999999999998,0.8998061932,-3.5313515663146973,0.81288,0.834333498312904,-1.6768296957015991,coat_mini,entropy,coat_mini-entropy
2,0.19999999999999996,0.8795336096,-3.3456127643585205,0.81288,0.834333498312904,-1.6768296957015991,coat_mini,entropy,coat_mini-entropy
3,0.29999999999999993,0.8599990667999999,-3.182096242904663,0.81288,0.834333498312904,-1.6768296957015991,coat_mini,entropy,coat_mini-entropy
4,0.3999999999999999,0.8373955028,-3.016080617904663,0.81288,0.834333498312904,-1.6768296957015991,coat_mini,entropy,coat_mini-entropy
5,0.5,0.8183764116,-2.878676652908325,0.81288,0.834333498312904,-1.6768296957015991,coat_mini,entropy,coat_mini-entropy
6,0.6,0.79623157,-2.7297797203063965,0.81288,0.834333498312904,-1.6768296957015991,coat_mini,entropy,coat_mini-entropy
7,0.7,0.7734982508,-2.5905065536499023,0.81288,0.834333498312904,-1.6768296957015991,coat_mini,entropy,coat_mini-entropy
8,0.8,0.74602733,-2.4519526958465576,0.81288,0.834333498312904,-1.6768296957015991,coat_mini,entropy,coat_mini-entropy
9,0.9,0.7037404988,-2.262843608856201,0.81288,0.834333498312904,-1.6768296957015991,coat_mini,entropy,coat_mini-entropy
10,1.0,0.5996186752,-1.9114940166473389,0.81288,0.834333498312904,-1.6768296957015991,coat_mini,entropy,coat_mini-entropy
