severity level,percentile,ood-auroc,ood_avg_conf,id-acc,id-auroc,id_avg_conf,model name,confidence function,model name - confidence function
0,0.0,0.8827112404,6.997250556945801,0.82294,0.7754061388301107,8.66798210144043,convit_base,max_logit,convit_base-max_logit
1,0.1,0.8540777256000001,7.252063751220702,0.82294,0.7754061388301107,8.66798210144043,convit_base,max_logit,convit_base-max_logit
2,0.2,0.8338105043999999,7.384643077850343,0.82294,0.7754061388301107,8.66798210144043,convit_base,max_logit,convit_base-max_logit
3,0.30000000000000004,0.8178934236,7.498801231384277,0.82294,0.7754061388301107,8.66798210144043,convit_base,max_logit,convit_base-max_logit
4,0.4,0.7937010664,7.629988193511963,0.82294,0.7754061388301107,8.66798210144043,convit_base,max_logit,convit_base-max_logit
5,0.5,0.7679893376000001,7.760401248931885,0.82294,0.7754061388301107,8.66798210144043,convit_base,max_logit,convit_base-max_logit
6,0.6000000000000001,0.7403353984000001,7.900374412536621,0.82294,0.7754061388301107,8.66798210144043,convit_base,max_logit,convit_base-max_logit
7,0.7000000000000001,0.7096762764,8.032170295715332,0.82294,0.7754061388301107,8.66798210144043,convit_base,max_logit,convit_base-max_logit
8,0.8,0.6854481304000001,8.142299652099611,0.82294,0.7754061388301107,8.66798210144043,convit_base,max_logit,convit_base-max_logit
9,0.9,0.6468794612,8.287734985351562,0.82294,0.7754061388301107,8.66798210144043,convit_base,max_logit,convit_base-max_logit
10,1.0,0.5705128956000001,8.516136169433594,0.82294,0.7754061388301107,8.66798210144043,convit_base,max_logit,convit_base-max_logit
