severity level,percentile,ood-auroc,ood_avg_conf,id-acc,id-auroc,id_avg_conf,model name,confidence function,model name - confidence function
0,0.0,0.887311228,7.05263614654541,0.81404,0.7876122855459075,8.650317192077638,convit_small,max_logit,convit_small-max_logit
1,0.1,0.8564974276,7.310637474060059,0.81404,0.7876122855459075,8.650317192077638,convit_small,max_logit,convit_small-max_logit
2,0.2,0.8361082832,7.458302974700928,0.81404,0.7876122855459075,8.650317192077638,convit_small,max_logit,convit_small-max_logit
3,0.30000000000000004,0.8112009652,7.595259189605713,0.81404,0.7876122855459075,8.650317192077638,convit_small,max_logit,convit_small-max_logit
4,0.4,0.7874945644,7.716912269592285,0.81404,0.7876122855459075,8.650317192077638,convit_small,max_logit,convit_small-max_logit
5,0.5,0.7649359323999999,7.830322265625,0.81404,0.7876122855459075,8.650317192077638,convit_small,max_logit,convit_small-max_logit
6,0.6000000000000001,0.7405633836,7.9477500915527335,0.81404,0.7876122855459075,8.650317192077638,convit_small,max_logit,convit_small-max_logit
7,0.7000000000000001,0.7226218484,8.03929328918457,0.81404,0.7876122855459075,8.650317192077638,convit_small,max_logit,convit_small-max_logit
8,0.8,0.69124127,8.155024528503418,0.81404,0.7876122855459075,8.650317192077638,convit_small,max_logit,convit_small-max_logit
9,0.9,0.6549249992,8.276251792907715,0.81404,0.7876122855459075,8.650317192077638,convit_small,max_logit,convit_small-max_logit
10,1.0,0.573959784,8.486397743225098,0.81404,0.7876122855459075,8.650317192077638,convit_small,max_logit,convit_small-max_logit
