severity level,percentile,ood-auroc,ood_avg_conf,id-acc,id-auroc,id_avg_conf,model name,confidence function,model name - confidence function
0,0.0,0.9934923259999999,4.1096835136413565,0.87534,0.7989463705846814,9.915817260742188,convnext_xlarge_384_in22ft1k,max_logit,convnext_xlarge_384_in22ft1k-max_logit
1,0.1,0.983656254,5.225804328918457,0.87534,0.7989463705846814,9.915817260742188,convnext_xlarge_384_in22ft1k,max_logit,convnext_xlarge_384_in22ft1k-max_logit
2,0.2,0.9739481944,5.89882755279541,0.87534,0.7989463705846814,9.915817260742188,convnext_xlarge_384_in22ft1k,max_logit,convnext_xlarge_384_in22ft1k-max_logit
3,0.30000000000000004,0.9618067695999999,6.5020408630371085,0.87534,0.7989463705846814,9.915817260742188,convnext_xlarge_384_in22ft1k,max_logit,convnext_xlarge_384_in22ft1k-max_logit
4,0.4,0.9472664328,6.973911762237549,0.87534,0.7989463705846814,9.915817260742188,convnext_xlarge_384_in22ft1k,max_logit,convnext_xlarge_384_in22ft1k-max_logit
5,0.5,0.9351651896,7.295392513275146,0.87534,0.7989463705846814,9.915817260742188,convnext_xlarge_384_in22ft1k,max_logit,convnext_xlarge_384_in22ft1k-max_logit
6,0.6000000000000001,0.9176798751999999,7.622239589691162,0.87534,0.7989463705846814,9.915817260742188,convnext_xlarge_384_in22ft1k,max_logit,convnext_xlarge_384_in22ft1k-max_logit
7,0.7000000000000001,0.8964947468000001,7.96760892868042,0.87534,0.7989463705846814,9.915817260742188,convnext_xlarge_384_in22ft1k,max_logit,convnext_xlarge_384_in22ft1k-max_logit
8,0.8,0.8703018532,8.29682731628418,0.87534,0.7989463705846814,9.915817260742188,convnext_xlarge_384_in22ft1k,max_logit,convnext_xlarge_384_in22ft1k-max_logit
9,0.9,0.8248810592,8.665621757507324,0.87534,0.7989463705846814,9.915817260742188,convnext_xlarge_384_in22ft1k,max_logit,convnext_xlarge_384_in22ft1k-max_logit
10,1.0,0.7374149879999999,9.222033500671387,0.87534,0.7989463705846814,9.915817260742188,convnext_xlarge_384_in22ft1k,max_logit,convnext_xlarge_384_in22ft1k-max_logit
