severity level,percentile,ood-auroc,ood_avg_conf,id-acc,id-auroc,id_avg_conf,model name,confidence function,model name - confidence function
0,0.0,0.8853283916,6.782239437103272,0.7397199999999999,0.7994053772904041,8.772282600402832,crossvit_9_240,max_logit,crossvit_9_240-max_logit
1,0.1,0.8506003756,7.137092590332031,0.7397199999999999,0.7994053772904041,8.772282600402832,crossvit_9_240,max_logit,crossvit_9_240-max_logit
2,0.2,0.8308964768000001,7.287245750427246,0.7397199999999999,0.7994053772904041,8.772282600402832,crossvit_9_240,max_logit,crossvit_9_240-max_logit
3,0.30000000000000004,0.8130772292,7.406532287597656,0.7397199999999999,0.7994053772904041,8.772282600402832,crossvit_9_240,max_logit,crossvit_9_240-max_logit
4,0.4,0.7939062440000001,7.519984245300293,0.7397199999999999,0.7994053772904041,8.772282600402832,crossvit_9_240,max_logit,crossvit_9_240-max_logit
5,0.5,0.7726272395999999,7.639206886291504,0.7397199999999999,0.7994053772904041,8.772282600402832,crossvit_9_240,max_logit,crossvit_9_240-max_logit
6,0.6000000000000001,0.7439380931999999,7.7913150787353525,0.7397199999999999,0.7994053772904041,8.772282600402832,crossvit_9_240,max_logit,crossvit_9_240-max_logit
7,0.7000000000000001,0.7175654764,7.9263200759887695,0.7397199999999999,0.7994053772904041,8.772282600402832,crossvit_9_240,max_logit,crossvit_9_240-max_logit
8,0.8,0.6839689584,8.077391624450684,0.7397199999999999,0.7994053772904041,8.772282600402832,crossvit_9_240,max_logit,crossvit_9_240-max_logit
9,0.9,0.645010842,8.246132850646973,0.7397199999999999,0.7994053772904041,8.772282600402832,crossvit_9_240,max_logit,crossvit_9_240-max_logit
10,1.0,0.556245206,8.578827857971191,0.7397199999999999,0.7994053772904041,8.772282600402832,crossvit_9_240,max_logit,crossvit_9_240-max_logit
