severity level,percentile,ood-auroc,ood_avg_conf,id-acc,id-auroc,id_avg_conf,model name,confidence function,model name - confidence function
0,0.0,0.8852280568,7.2682456970214835,0.81844,0.7594145328025539,9.342889785766602,cs3darknet_x,max_logit,cs3darknet_x-max_logit
1,0.1,0.8606386776,7.523743629455566,0.81844,0.7594145328025539,9.342889785766602,cs3darknet_x,max_logit,cs3darknet_x-max_logit
2,0.2,0.843532298,7.6627092361450195,0.81844,0.7594145328025539,9.342889785766602,cs3darknet_x,max_logit,cs3darknet_x-max_logit
3,0.30000000000000004,0.8232092208,7.801239490509032,0.81844,0.7594145328025539,9.342889785766602,cs3darknet_x,max_logit,cs3darknet_x-max_logit
4,0.4,0.8036491584000001,7.939821243286133,0.81844,0.7594145328025539,9.342889785766602,cs3darknet_x,max_logit,cs3darknet_x-max_logit
5,0.5,0.7832555064,8.077997207641603,0.81844,0.7594145328025539,9.342889785766602,cs3darknet_x,max_logit,cs3darknet_x-max_logit
6,0.6000000000000001,0.763552228,8.200808525085451,0.81844,0.7594145328025539,9.342889785766602,cs3darknet_x,max_logit,cs3darknet_x-max_logit
7,0.7000000000000001,0.7389915236,8.336478233337402,0.81844,0.7594145328025539,9.342889785766602,cs3darknet_x,max_logit,cs3darknet_x-max_logit
8,0.8,0.7126861448,8.478801727294924,0.81844,0.7594145328025539,9.342889785766602,cs3darknet_x,max_logit,cs3darknet_x-max_logit
9,0.9,0.676720762,8.654923439025879,0.81844,0.7594145328025539,9.342889785766602,cs3darknet_x,max_logit,cs3darknet_x-max_logit
10,1.0,0.5928899935999999,8.992547035217285,0.81844,0.7594145328025539,9.342889785766602,cs3darknet_x,max_logit,cs3darknet_x-max_logit
