severity level,percentile,ood-auroc,ood_avg_conf,id-acc,id-auroc,id_avg_conf,model name,confidence function,model name - confidence function
0,0.0,0.8642424000000001,6.4011549949646,0.8219200000000001,0.7695381743507325,7.892807483673097,cs3edgenet_x,max_logit,cs3edgenet_x-max_logit
1,0.1,0.8405313676,6.605307102203369,0.8219200000000001,0.7695381743507325,7.892807483673097,cs3edgenet_x,max_logit,cs3edgenet_x-max_logit
2,0.2,0.8215075087999999,6.719147682189941,0.8219200000000001,0.7695381743507325,7.892807483673097,cs3edgenet_x,max_logit,cs3edgenet_x-max_logit
3,0.30000000000000004,0.803943854,6.8125038146972665,0.8219200000000001,0.7695381743507325,7.892807483673097,cs3edgenet_x,max_logit,cs3edgenet_x-max_logit
4,0.4,0.7864872868,6.912553310394287,0.8219200000000001,0.7695381743507325,7.892807483673097,cs3edgenet_x,max_logit,cs3edgenet_x-max_logit
5,0.5,0.7694970368,7.011213779449463,0.8219200000000001,0.7695381743507325,7.892807483673097,cs3edgenet_x,max_logit,cs3edgenet_x-max_logit
6,0.6000000000000001,0.75028463,7.104313850402832,0.8219200000000001,0.7695381743507325,7.892807483673097,cs3edgenet_x,max_logit,cs3edgenet_x-max_logit
7,0.7000000000000001,0.7274962424,7.204636096954347,0.8219200000000001,0.7695381743507325,7.892807483673097,cs3edgenet_x,max_logit,cs3edgenet_x-max_logit
8,0.8,0.7013257708,7.311379909515381,0.8219200000000001,0.7695381743507325,7.892807483673097,cs3edgenet_x,max_logit,cs3edgenet_x-max_logit
9,0.9,0.6581797096,7.469759941101074,0.8219200000000001,0.7695381743507325,7.892807483673097,cs3edgenet_x,max_logit,cs3edgenet_x-max_logit
10,1.0,0.5730461896,7.715236186981201,0.8219200000000001,0.7695381743507325,7.892807483673097,cs3edgenet_x,max_logit,cs3edgenet_x-max_logit
