severity level,percentile,ood-auroc,ood_avg_conf,id-acc,id-auroc,id_avg_conf,model name,confidence function,model name - confidence function
0,0.0,0.9094399256,0.2025584578514099,0.80042,0.8405448172878894,0.6445881128311157,cspresnext50,softmax,cspresnext50-softmax
1,0.1,0.8863711736,0.236914336681366,0.80042,0.8405448172878894,0.6445881128311157,cspresnext50,softmax,cspresnext50-softmax
2,0.2,0.8730996588,0.2556238174438477,0.80042,0.8405448172878894,0.6445881128311157,cspresnext50,softmax,cspresnext50-softmax
3,0.30000000000000004,0.8591507044,0.2740267813205719,0.80042,0.8405448172878894,0.6445881128311157,cspresnext50,softmax,cspresnext50-softmax
4,0.4,0.8445138228,0.2936780154705048,0.80042,0.8405448172878894,0.6445881128311157,cspresnext50,softmax,cspresnext50-softmax
5,0.5,0.8258937872,0.31788575649261475,0.80042,0.8405448172878894,0.6445881128311157,cspresnext50,softmax,cspresnext50-softmax
6,0.6000000000000001,0.8087597115999999,0.3395583927631378,0.80042,0.8405448172878894,0.6445881128311157,cspresnext50,softmax,cspresnext50-softmax
7,0.7000000000000001,0.7881000268,0.3659264743328095,0.80042,0.8405448172878894,0.6445881128311157,cspresnext50,softmax,cspresnext50-softmax
8,0.8,0.7599372828000001,0.3975974321365357,0.80042,0.8405448172878894,0.6445881128311157,cspresnext50,softmax,cspresnext50-softmax
9,0.9,0.7177159492,0.4452494084835053,0.80042,0.8405448172878894,0.6445881128311157,cspresnext50,softmax,cspresnext50-softmax
10,1.0,0.6270494724,0.536031186580658,0.80042,0.8405448172878894,0.6445881128311157,cspresnext50,softmax,cspresnext50-softmax
