severity level,percentile,ood-auroc,ood_avg_conf,id-acc,id-auroc,id_avg_conf,model name,confidence function,model name - confidence function
0,0.0,0.9356364836,-3.624324798583984,0.8522,0.83807929425043,-1.4462295770645142,deit3_huge_patch14_224,entropy,deit3_huge_patch14_224-entropy
1,0.09999999999999998,0.9086234784,-3.1897363662719727,0.8522,0.83807929425043,-1.4462295770645142,deit3_huge_patch14_224,entropy,deit3_huge_patch14_224-entropy
2,0.19999999999999996,0.8849582516,-2.9653241634368896,0.8522,0.83807929425043,-1.4462295770645142,deit3_huge_patch14_224,entropy,deit3_huge_patch14_224-entropy
3,0.29999999999999993,0.8640814888,-2.773059606552124,0.8522,0.83807929425043,-1.4462295770645142,deit3_huge_patch14_224,entropy,deit3_huge_patch14_224-entropy
4,0.3999999999999999,0.8408792048,-2.609900951385498,0.8522,0.83807929425043,-1.4462295770645142,deit3_huge_patch14_224,entropy,deit3_huge_patch14_224-entropy
5,0.5,0.8233518692,-2.5051372051239014,0.8522,0.83807929425043,-1.4462295770645142,deit3_huge_patch14_224,entropy,deit3_huge_patch14_224-entropy
6,0.6,0.8004412536,-2.380792617797852,0.8522,0.83807929425043,-1.4462295770645142,deit3_huge_patch14_224,entropy,deit3_huge_patch14_224-entropy
7,0.7,0.779159946,-2.279484272003174,0.8522,0.83807929425043,-1.4462295770645142,deit3_huge_patch14_224,entropy,deit3_huge_patch14_224-entropy
8,0.8,0.7460715712,-2.1503164768218994,0.8522,0.83807929425043,-1.4462295770645142,deit3_huge_patch14_224,entropy,deit3_huge_patch14_224-entropy
9,0.9,0.7036089596,-1.996912240982056,0.8522,0.83807929425043,-1.4462295770645142,deit3_huge_patch14_224,entropy,deit3_huge_patch14_224-entropy
10,1.0,0.6018825404,-1.7112361192703247,0.8522,0.83807929425043,-1.4462295770645142,deit3_huge_patch14_224,entropy,deit3_huge_patch14_224-entropy
