severity level,percentile,ood-auroc,ood_avg_conf,id-acc,id-auroc,id_avg_conf,model name,confidence function,model name - confidence function
0,0.0,0.9195714304000001,0.3108852803707123,0.8309200000000001,0.856023279044217,0.7592994570732117,deit3_medium_patch16_224,softmax,deit3_medium_patch16_224-softmax
1,0.1,0.8945377132,0.364025205373764,0.8309200000000001,0.856023279044217,0.7592994570732117,deit3_medium_patch16_224,softmax,deit3_medium_patch16_224-softmax
2,0.2,0.8734769095999999,0.40017908811569214,0.8309200000000001,0.856023279044217,0.7592994570732117,deit3_medium_patch16_224,softmax,deit3_medium_patch16_224-softmax
3,0.30000000000000004,0.8546031936,0.4304676055908203,0.8309200000000001,0.856023279044217,0.7592994570732117,deit3_medium_patch16_224,softmax,deit3_medium_patch16_224-softmax
4,0.4,0.8341577276000001,0.4622589349746704,0.8309200000000001,0.856023279044217,0.7592994570732117,deit3_medium_patch16_224,softmax,deit3_medium_patch16_224-softmax
5,0.5,0.8155865668000001,0.487592488527298,0.8309200000000001,0.856023279044217,0.7592994570732117,deit3_medium_patch16_224,softmax,deit3_medium_patch16_224-softmax
6,0.6000000000000001,0.7989260144,0.5103861689567566,0.8309200000000001,0.856023279044217,0.7592994570732117,deit3_medium_patch16_224,softmax,deit3_medium_patch16_224-softmax
7,0.7000000000000001,0.7748007868000001,0.5379934310913086,0.8309200000000001,0.856023279044217,0.7592994570732117,deit3_medium_patch16_224,softmax,deit3_medium_patch16_224-softmax
8,0.8,0.7453555112000001,0.5690885186195374,0.8309200000000001,0.856023279044217,0.7592994570732117,deit3_medium_patch16_224,softmax,deit3_medium_patch16_224-softmax
9,0.9,0.700556416,0.6132352948188782,0.8309200000000001,0.856023279044217,0.7592994570732117,deit3_medium_patch16_224,softmax,deit3_medium_patch16_224-softmax
10,1.0,0.5979505832,0.6947937607765198,0.8309200000000001,0.856023279044217,0.7592994570732117,deit3_medium_patch16_224,softmax,deit3_medium_patch16_224-softmax
