severity level,percentile,ood-auroc,ood_avg_conf,id-acc,id-auroc,id_avg_conf,model name,confidence function,model name - confidence function
0,0.0,0.9185994795999999,6.764420509338379,0.8306399999999999,0.7986253669166256,9.013168334960938,deit3_small_patch16_224_in21ft1k,max_logit,deit3_small_patch16_224_in21ft1k-max_logit
1,0.1,0.8859752492,7.259244918823242,0.8306399999999999,0.7986253669166256,9.013168334960938,deit3_small_patch16_224_in21ft1k,max_logit,deit3_small_patch16_224_in21ft1k-max_logit
2,0.2,0.8579624448000001,7.513989448547362,0.8306399999999999,0.7986253669166256,9.013168334960938,deit3_small_patch16_224_in21ft1k,max_logit,deit3_small_patch16_224_in21ft1k-max_logit
3,0.30000000000000004,0.8346572588,7.707883834838867,0.8306399999999999,0.7986253669166256,9.013168334960938,deit3_small_patch16_224_in21ft1k,max_logit,deit3_small_patch16_224_in21ft1k-max_logit
4,0.4,0.8121412864,7.858475208282472,0.8306399999999999,0.7986253669166256,9.013168334960938,deit3_small_patch16_224_in21ft1k,max_logit,deit3_small_patch16_224_in21ft1k-max_logit
5,0.5,0.7909239687999999,8.00092601776123,0.8306399999999999,0.7986253669166256,9.013168334960938,deit3_small_patch16_224_in21ft1k,max_logit,deit3_small_patch16_224_in21ft1k-max_logit
6,0.6000000000000001,0.7646356976,8.139153480529785,0.8306399999999999,0.7986253669166256,9.013168334960938,deit3_small_patch16_224_in21ft1k,max_logit,deit3_small_patch16_224_in21ft1k-max_logit
7,0.7000000000000001,0.7395045579999999,8.274981498718263,0.8306399999999999,0.7986253669166256,9.013168334960938,deit3_small_patch16_224_in21ft1k,max_logit,deit3_small_patch16_224_in21ft1k-max_logit
8,0.8,0.7071858132,8.410595893859862,0.8306399999999999,0.7986253669166256,9.013168334960938,deit3_small_patch16_224_in21ft1k,max_logit,deit3_small_patch16_224_in21ft1k-max_logit
9,0.9,0.6640054436,8.568315505981445,0.8306399999999999,0.7986253669166256,9.013168334960938,deit3_small_patch16_224_in21ft1k,max_logit,deit3_small_patch16_224_in21ft1k-max_logit
10,1.0,0.5632884684,8.845470428466797,0.8306399999999999,0.7986253669166256,9.013168334960938,deit3_small_patch16_224_in21ft1k,max_logit,deit3_small_patch16_224_in21ft1k-max_logit
