severity level,percentile,ood-auroc,ood_avg_conf,id-acc,id-auroc,id_avg_conf,model name,confidence function,model name - confidence function
0,0.0,0.9474075396,-2.262336254119873,0.8542200000000001,0.8648133777283569,-0.2744344174861908,deit_base_distilled_patch16_384,entropy,deit_base_distilled_patch16_384-entropy
1,0.09999999999999998,0.9321125524,-1.962145447731018,0.8542200000000001,0.8648133777283569,-0.2744344174861908,deit_base_distilled_patch16_384,entropy,deit_base_distilled_patch16_384-entropy
2,0.19999999999999996,0.921346332,-1.7975510358810425,0.8542200000000001,0.8648133777283569,-0.2744344174861908,deit_base_distilled_patch16_384,entropy,deit_base_distilled_patch16_384-entropy
3,0.29999999999999993,0.9121781828,-1.666587233543396,0.8542200000000001,0.8648133777283569,-0.2744344174861908,deit_base_distilled_patch16_384,entropy,deit_base_distilled_patch16_384-entropy
4,0.3999999999999999,0.8963618536,-1.5071532726287842,0.8542200000000001,0.8648133777283569,-0.2744344174861908,deit_base_distilled_patch16_384,entropy,deit_base_distilled_patch16_384-entropy
5,0.5,0.88080994,-1.3666192293167114,0.8542200000000001,0.8648133777283569,-0.2744344174861908,deit_base_distilled_patch16_384,entropy,deit_base_distilled_patch16_384-entropy
6,0.6,0.8586050052,-1.1940460205078125,0.8542200000000001,0.8648133777283569,-0.2744344174861908,deit_base_distilled_patch16_384,entropy,deit_base_distilled_patch16_384-entropy
7,0.7,0.842250706,-1.041553974151611,0.8542200000000001,0.8648133777283569,-0.2744344174861908,deit_base_distilled_patch16_384,entropy,deit_base_distilled_patch16_384-entropy
8,0.8,0.8157024428,-0.9095117449760436,0.8542200000000001,0.8648133777283569,-0.2744344174861908,deit_base_distilled_patch16_384,entropy,deit_base_distilled_patch16_384-entropy
9,0.9,0.7773875148,-0.7413005232810974,0.8542200000000001,0.8648133777283569,-0.2744344174861908,deit_base_distilled_patch16_384,entropy,deit_base_distilled_patch16_384-entropy
10,1.0,0.6770213448,-0.4730757772922516,0.8542200000000001,0.8648133777283569,-0.2744344174861908,deit_base_distilled_patch16_384,entropy,deit_base_distilled_patch16_384-entropy
