severity level,percentile,ood-auroc,ood_avg_conf,id-acc,id-auroc,id_avg_conf,model name,confidence function,model name - confidence function
0,0.0,0.880873812,7.077406883239746,0.7985800000000001,0.7841975484043506,8.682646751403809,deit_small_patch16_224,max_logit,deit_small_patch16_224-max_logit
1,0.1,0.8470910972,7.350423812866211,0.7985800000000001,0.7841975484043506,8.682646751403809,deit_small_patch16_224,max_logit,deit_small_patch16_224-max_logit
2,0.2,0.82228292,7.5114994049072275,0.7985800000000001,0.7841975484043506,8.682646751403809,deit_small_patch16_224,max_logit,deit_small_patch16_224-max_logit
3,0.30000000000000004,0.8007403292,7.640199184417725,0.7985800000000001,0.7841975484043506,8.682646751403809,deit_small_patch16_224,max_logit,deit_small_patch16_224-max_logit
4,0.4,0.7783041556,7.755991458892822,0.7985800000000001,0.7841975484043506,8.682646751403809,deit_small_patch16_224,max_logit,deit_small_patch16_224-max_logit
5,0.5,0.7569492576000001,7.8711185455322275,0.7985800000000001,0.7841975484043506,8.682646751403809,deit_small_patch16_224,max_logit,deit_small_patch16_224-max_logit
6,0.6000000000000001,0.7308965108,7.98848819732666,0.7985800000000001,0.7841975484043506,8.682646751403809,deit_small_patch16_224,max_logit,deit_small_patch16_224-max_logit
7,0.7000000000000001,0.7094977972,8.086431503295897,0.7985800000000001,0.7841975484043506,8.682646751403809,deit_small_patch16_224,max_logit,deit_small_patch16_224-max_logit
8,0.8,0.6815481984,8.193904876708983,0.7985800000000001,0.7841975484043506,8.682646751403809,deit_small_patch16_224,max_logit,deit_small_patch16_224-max_logit
9,0.9,0.6491723992,8.302836418151855,0.7985800000000001,0.7841975484043506,8.682646751403809,deit_small_patch16_224,max_logit,deit_small_patch16_224-max_logit
10,1.0,0.5764706856,8.505705833435059,0.7985800000000001,0.7841975484043506,8.682646751403809,deit_small_patch16_224,max_logit,deit_small_patch16_224-max_logit
