severity level,percentile,ood-auroc,ood_avg_conf,id-acc,id-auroc,id_avg_conf,model name,confidence function,model name - confidence function
0,0.0,0.8907168308,0.23165789246559146,0.75572,0.8517988599210271,0.6620148420333862,densenet121,softmax,densenet121-softmax
1,0.1,0.8700990316,0.2614884972572327,0.75572,0.8517988599210271,0.6620148420333862,densenet121,softmax,densenet121-softmax
2,0.2,0.8563125768000001,0.2807515859603882,0.75572,0.8517988599210271,0.6620148420333862,densenet121,softmax,densenet121-softmax
3,0.30000000000000004,0.8421065292000001,0.2996972501277924,0.75572,0.8517988599210271,0.6620148420333862,densenet121,softmax,densenet121-softmax
4,0.4,0.8261790372,0.3200812637805939,0.75572,0.8517988599210271,0.6620148420333862,densenet121,softmax,densenet121-softmax
5,0.5,0.8121084568000001,0.3378066420555115,0.75572,0.8517988599210271,0.6620148420333862,densenet121,softmax,densenet121-softmax
6,0.6000000000000001,0.7956776888,0.3593546748161316,0.75572,0.8517988599210271,0.6620148420333862,densenet121,softmax,densenet121-softmax
7,0.7000000000000001,0.7736532587999999,0.38583576679229736,0.75572,0.8517988599210271,0.6620148420333862,densenet121,softmax,densenet121-softmax
8,0.8,0.7453727648,0.4191691875457764,0.75572,0.8517988599210271,0.6620148420333862,densenet121,softmax,densenet121-softmax
9,0.9,0.7093603772,0.4607242047786713,0.75572,0.8517988599210271,0.6620148420333862,densenet121,softmax,densenet121-softmax
10,1.0,0.6212481012,0.5542467832565308,0.75572,0.8517988599210271,0.6620148420333862,densenet121,softmax,densenet121-softmax
