severity level,percentile,ood-auroc,ood_avg_conf,id-acc,id-auroc,id_avg_conf,model name,confidence function,model name - confidence function
0,0.0,0.9367610976,9.084965705871582,0.77288,0.7742658447907488,15.790302276611328,densenet201,max_logit,densenet201-max_logit
1,0.1,0.9086846843999999,9.891587257385254,0.77288,0.7742658447907488,15.790302276611328,densenet201,max_logit,densenet201-max_logit
2,0.2,0.8861558148,10.352910995483398,0.77288,0.7742658447907488,15.790302276611328,densenet201,max_logit,densenet201-max_logit
3,0.30000000000000004,0.865040044,10.751869201660156,0.77288,0.7742658447907488,15.790302276611328,densenet201,max_logit,densenet201-max_logit
4,0.4,0.8441694892,11.126803398132324,0.77288,0.7742658447907488,15.790302276611328,densenet201,max_logit,densenet201-max_logit
5,0.5,0.8226144716,11.477901458740234,0.77288,0.7742658447907488,15.790302276611328,densenet201,max_logit,densenet201-max_logit
6,0.6000000000000001,0.8018761416,11.790032386779785,0.77288,0.7742658447907488,15.790302276611328,densenet201,max_logit,densenet201-max_logit
7,0.7000000000000001,0.7768867164,12.141168594360352,0.77288,0.7742658447907488,15.790302276611328,densenet201,max_logit,densenet201-max_logit
8,0.8,0.7427776220000001,12.588257789611815,0.77288,0.7742658447907488,15.790302276611328,densenet201,max_logit,densenet201-max_logit
9,0.9,0.693633356,13.212847709655762,0.77288,0.7742658447907488,15.790302276611328,densenet201,max_logit,densenet201-max_logit
10,1.0,0.5820203956000001,14.63298225402832,0.77288,0.7742658447907488,15.790302276611328,densenet201,max_logit,densenet201-max_logit
