severity level,percentile,ood-auroc,ood_avg_conf,id-acc,id-auroc,id_avg_conf,model name,confidence function,model name - confidence function
0,0.0,0.9439524868000001,9.670309066772461,0.7851,0.7707013176247536,17.62662696838379,dla102x,max_logit,dla102x-max_logit
1,0.1,0.92119494,10.36663818359375,0.7851,0.7707013176247536,17.62662696838379,dla102x,max_logit,dla102x-max_logit
2,0.2,0.9043892804000001,10.815906524658203,0.7851,0.7707013176247536,17.62662696838379,dla102x,max_logit,dla102x-max_logit
3,0.30000000000000004,0.8859115992000001,11.245936393737793,0.7851,0.7707013176247536,17.62662696838379,dla102x,max_logit,dla102x-max_logit
4,0.4,0.8690069359999999,11.626133918762207,0.7851,0.7707013176247536,17.62662696838379,dla102x,max_logit,dla102x-max_logit
5,0.5,0.849294326,12.023577690124512,0.7851,0.7707013176247536,17.62662696838379,dla102x,max_logit,dla102x-max_logit
6,0.6000000000000001,0.8250206644,12.471552848815918,0.7851,0.7707013176247536,17.62662696838379,dla102x,max_logit,dla102x-max_logit
7,0.7000000000000001,0.8008472136,12.914051055908205,0.7851,0.7707013176247536,17.62662696838379,dla102x,max_logit,dla102x-max_logit
8,0.8,0.7665510087999999,13.466988563537598,0.7851,0.7707013176247536,17.62662696838379,dla102x,max_logit,dla102x-max_logit
9,0.9,0.7145962271999999,14.24802017211914,0.7851,0.7707013176247536,17.62662696838379,dla102x,max_logit,dla102x-max_logit
10,1.0,0.5966605792,16.02838134765625,0.7851,0.7707013176247536,17.62662696838379,dla102x,max_logit,dla102x-max_logit
