severity level,percentile,ood-auroc,ood_avg_conf,id-acc,id-auroc,id_avg_conf,model name,confidence function,model name - confidence function
0,0.0,0.9443544064,10.046748161315918,0.7942600000000001,0.7611313468292674,19.151365280151367,dla102x2,max_logit,dla102x2-max_logit
1,0.1,0.920423498,10.813319206237793,0.7942600000000001,0.7611313468292674,19.151365280151367,dla102x2,max_logit,dla102x2-max_logit
2,0.2,0.902737144,11.317862510681152,0.7942600000000001,0.7611313468292674,19.151365280151367,dla102x2,max_logit,dla102x2-max_logit
3,0.30000000000000004,0.8855966832,11.765584945678713,0.7942600000000001,0.7611313468292674,19.151365280151367,dla102x2,max_logit,dla102x2-max_logit
4,0.4,0.8692675216,12.157673835754395,0.7942600000000001,0.7611313468292674,19.151365280151367,dla102x2,max_logit,dla102x2-max_logit
5,0.5,0.8517320272,12.56098747253418,0.7942600000000001,0.7611313468292674,19.151365280151367,dla102x2,max_logit,dla102x2-max_logit
6,0.6000000000000001,0.8305143768000001,12.999775886535645,0.7942600000000001,0.7611313468292674,19.151365280151367,dla102x2,max_logit,dla102x2-max_logit
7,0.7000000000000001,0.8053696368000001,13.500597953796387,0.7942600000000001,0.7611313468292674,19.151365280151367,dla102x2,max_logit,dla102x2-max_logit
8,0.8,0.7715120244,14.128531455993652,0.7942600000000001,0.7611313468292674,19.151365280151367,dla102x2,max_logit,dla102x2-max_logit
9,0.9,0.7183046636,15.066631317138672,0.7942600000000001,0.7611313468292674,19.151365280151367,dla102x2,max_logit,dla102x2-max_logit
10,1.0,0.6024602132,17.115480422973633,0.7942600000000001,0.7611313468292674,19.151365280151367,dla102x2,max_logit,dla102x2-max_logit
