severity level,percentile,ood-auroc,ood_avg_conf,id-acc,id-auroc,id_avg_conf,model name,confidence function,model name - confidence function
0,0.0,0.9073559920000001,0.38747796416282654,0.79438,0.8630839237316107,0.8545499444007874,dla102x2,softmax,dla102x2-softmax
1,0.1,0.8825046252,0.44140860438346863,0.79438,0.8630839237316107,0.8545499444007874,dla102x2,softmax,dla102x2-softmax
2,0.2,0.867328598,0.4731743037700653,0.79438,0.8630839237316107,0.8545499444007874,dla102x2,softmax,dla102x2-softmax
3,0.30000000000000004,0.85314533,0.5020678639411926,0.79438,0.8630839237316107,0.8545499444007874,dla102x2,softmax,dla102x2-softmax
4,0.4,0.8394240552,0.5280119776725769,0.79438,0.8630839237316107,0.8545499444007874,dla102x2,softmax,dla102x2-softmax
5,0.5,0.8264598188,0.5523728132247925,0.79438,0.8630839237316107,0.8545499444007874,dla102x2,softmax,dla102x2-softmax
6,0.6000000000000001,0.8104772268000001,0.5771856904029846,0.79438,0.8630839237316107,0.8545499444007874,dla102x2,softmax,dla102x2-softmax
7,0.7000000000000001,0.7930154312000001,0.6032849550247192,0.79438,0.8630839237316107,0.8545499444007874,dla102x2,softmax,dla102x2-softmax
8,0.8,0.7696127592,0.6358340382575989,0.79438,0.8630839237316107,0.8545499444007874,dla102x2,softmax,dla102x2-softmax
9,0.9,0.7367295268,0.6815433502197266,0.79438,0.8630839237316107,0.8545499444007874,dla102x2,softmax,dla102x2-softmax
10,1.0,0.6535355564,0.7613235712051392,0.79438,0.8630839237316107,0.8545499444007874,dla102x2,softmax,dla102x2-softmax
