severity level,percentile,ood-auroc,ood_avg_conf,id-acc,id-auroc,id_avg_conf,model name,confidence function,model name - confidence function
0,0.0,0.8982446912,-3.7631549835205083,0.64868,0.82717130473234,-1.485859990119934,dla46_c,entropy,dla46_c-entropy
1,0.09999999999999998,0.8631300284,-3.4304468631744385,0.64868,0.82717130473234,-1.485859990119934,dla46_c,entropy,dla46_c-entropy
2,0.19999999999999996,0.8306458668,-3.1461162567138667,0.64868,0.82717130473234,-1.485859990119934,dla46_c,entropy,dla46_c-entropy
3,0.29999999999999993,0.8062814072,-2.9394440650939937,0.64868,0.82717130473234,-1.485859990119934,dla46_c,entropy,dla46_c-entropy
4,0.3999999999999999,0.7819804428,-2.7759358882904053,0.64868,0.82717130473234,-1.485859990119934,dla46_c,entropy,dla46_c-entropy
5,0.5,0.7614627184,-2.636070728302002,0.64868,0.82717130473234,-1.485859990119934,dla46_c,entropy,dla46_c-entropy
6,0.6,0.735738818,-2.48726224899292,0.64868,0.82717130473234,-1.485859990119934,dla46_c,entropy,dla46_c-entropy
7,0.7,0.7072382596,-2.3185856342315674,0.64868,0.82717130473234,-1.485859990119934,dla46_c,entropy,dla46_c-entropy
8,0.8,0.672048116,-2.1326951980590816,0.64868,0.82717130473234,-1.485859990119934,dla46_c,entropy,dla46_c-entropy
9,0.9,0.6277921815999999,-1.9090620279312132,0.64868,0.82717130473234,-1.485859990119934,dla46_c,entropy,dla46_c-entropy
10,1.0,0.542888912,-1.5488234758377075,0.64868,0.82717130473234,-1.485859990119934,dla46_c,entropy,dla46_c-entropy
