severity level,percentile,ood-auroc,ood_avg_conf,id-acc,id-auroc,id_avg_conf,model name,confidence function,model name - confidence function
0,0.0,0.8732823223999999,7.167355060577393,0.7846,0.7651046574128577,9.573686599731444,dla60_res2net,max_logit,dla60_res2net-max_logit
1,0.1,0.8461896940000001,7.426568031311035,0.7846,0.7651046574128577,9.573686599731444,dla60_res2net,max_logit,dla60_res2net-max_logit
2,0.2,0.8289634624,7.572641372680664,0.7846,0.7651046574128577,9.573686599731444,dla60_res2net,max_logit,dla60_res2net-max_logit
3,0.30000000000000004,0.8146828824,7.684359550476074,0.7846,0.7651046574128577,9.573686599731444,dla60_res2net,max_logit,dla60_res2net-max_logit
4,0.4,0.7987062148,7.80725622177124,0.7846,0.7651046574128577,9.573686599731444,dla60_res2net,max_logit,dla60_res2net-max_logit
5,0.5,0.7846198184000001,7.910946846008301,0.7846,0.7651046574128577,9.573686599731444,dla60_res2net,max_logit,dla60_res2net-max_logit
6,0.6000000000000001,0.7637401396,8.056118965148926,0.7846,0.7651046574128577,9.573686599731444,dla60_res2net,max_logit,dla60_res2net-max_logit
7,0.7000000000000001,0.7460472228,8.17447566986084,0.7846,0.7651046574128577,9.573686599731444,dla60_res2net,max_logit,dla60_res2net-max_logit
8,0.8,0.7148563292,8.372995376586914,0.7846,0.7651046574128577,9.573686599731444,dla60_res2net,max_logit,dla60_res2net-max_logit
9,0.9,0.6805567995999999,8.583357810974121,0.7846,0.7651046574128577,9.573686599731444,dla60_res2net,max_logit,dla60_res2net-max_logit
10,1.0,0.5950387152000001,9.049324989318848,0.7846,0.7651046574128577,9.573686599731444,dla60_res2net,max_logit,dla60_res2net-max_logit
