severity level,percentile,ood-auroc,ood_avg_conf,id-acc,id-auroc,id_avg_conf,model name,confidence function,model name - confidence function
0,0.0,0.901193038,-3.959604978561402,0.78446,0.8160750967425321,-1.477045655250549,dla60_res2next,entropy,dla60_res2next-entropy
1,0.09999999999999998,0.8806209532,-3.7066128253936768,0.78446,0.8160750967425321,-1.477045655250549,dla60_res2next,entropy,dla60_res2next-entropy
2,0.19999999999999996,0.8631722324,-3.54158878326416,0.78446,0.8160750967425321,-1.477045655250549,dla60_res2next,entropy,dla60_res2next-entropy
3,0.29999999999999993,0.8509164316,-3.4288625717163086,0.78446,0.8160750967425321,-1.477045655250549,dla60_res2next,entropy,dla60_res2next-entropy
4,0.3999999999999999,0.833913556,-3.2916665077209477,0.78446,0.8160750967425321,-1.477045655250549,dla60_res2next,entropy,dla60_res2next-entropy
5,0.5,0.8167105752,-3.1447386741638184,0.78446,0.8160750967425321,-1.477045655250549,dla60_res2next,entropy,dla60_res2next-entropy
6,0.6,0.7997408128,-3.0041375160217285,0.78446,0.8160750967425321,-1.477045655250549,dla60_res2next,entropy,dla60_res2next-entropy
7,0.7,0.7796563948,-2.8482043743133545,0.78446,0.8160750967425321,-1.477045655250549,dla60_res2next,entropy,dla60_res2next-entropy
8,0.8,0.7477604352,-2.637458086013794,0.78446,0.8160750967425321,-1.477045655250549,dla60_res2next,entropy,dla60_res2next-entropy
9,0.9,0.7157414952000001,-2.4255034923553467,0.78446,0.8160750967425321,-1.477045655250549,dla60_res2next,entropy,dla60_res2next-entropy
10,1.0,0.6332120028,-1.9841345548629759,0.78446,0.8160750967425321,-1.477045655250549,dla60_res2next,entropy,dla60_res2next-entropy
