severity level,percentile,ood-auroc,ood_avg_conf,id-acc,id-auroc,id_avg_conf,model name,confidence function,model name - confidence function
0,0.0,0.8897953896,-4.092601776123047,0.7741600000000001,0.7761457360194429,-1.9968786239624023,efficientnet_b1,entropy,efficientnet_b1-entropy
1,0.09999999999999998,0.8565287619999999,-3.7920513153076167,0.7741600000000001,0.7761457360194429,-1.9968786239624023,efficientnet_b1,entropy,efficientnet_b1-entropy
2,0.19999999999999996,0.8370015476,-3.644296884536743,0.7741600000000001,0.7761457360194429,-1.9968786239624023,efficientnet_b1,entropy,efficientnet_b1-entropy
3,0.29999999999999993,0.8194772416,-3.5166165828704834,0.7741600000000001,0.7761457360194429,-1.9968786239624023,efficientnet_b1,entropy,efficientnet_b1-entropy
4,0.3999999999999999,0.8050482324,-3.419219493865967,0.7741600000000001,0.7761457360194429,-1.9968786239624023,efficientnet_b1,entropy,efficientnet_b1-entropy
5,0.5,0.785925438,-3.2945828437805176,0.7741600000000001,0.7761457360194429,-1.9968786239624023,efficientnet_b1,entropy,efficientnet_b1-entropy
6,0.6,0.7627430632000001,-3.1556124687194824,0.7741600000000001,0.7761457360194429,-1.9968786239624023,efficientnet_b1,entropy,efficientnet_b1-entropy
7,0.7,0.7410671664,-3.0306763648986816,0.7741600000000001,0.7761457360194429,-1.9968786239624023,efficientnet_b1,entropy,efficientnet_b1-entropy
8,0.8,0.7112117468,-2.874865293502808,0.7741600000000001,0.7761457360194429,-1.9968786239624023,efficientnet_b1,entropy,efficientnet_b1-entropy
9,0.9,0.67134741,-2.674442768096924,0.7741600000000001,0.7761457360194429,-1.9968786239624023,efficientnet_b1,entropy,efficientnet_b1-entropy
10,1.0,0.5799969428,-2.274212598800659,0.7741600000000001,0.7761457360194429,-1.9968786239624023,efficientnet_b1,entropy,efficientnet_b1-entropy
