severity level,percentile,ood-auroc,ood_avg_conf,id-acc,id-auroc,id_avg_conf,model name,confidence function,model name - confidence function
0,0.0,0.9134711224000001,-4.08614444732666,0.79908,0.8117680469908501,-1.6975773572921753,efficientnet_b2_pruned,entropy,efficientnet_b2_pruned-entropy
1,0.09999999999999998,0.8892198492,-3.792171239852905,0.79908,0.8117680469908501,-1.6975773572921753,efficientnet_b2_pruned,entropy,efficientnet_b2_pruned-entropy
2,0.19999999999999996,0.8721292004,-3.630556344985962,0.79908,0.8117680469908501,-1.6975773572921753,efficientnet_b2_pruned,entropy,efficientnet_b2_pruned-entropy
3,0.29999999999999993,0.8564029124,-3.498218059539795,0.79908,0.8117680469908501,-1.6975773572921753,efficientnet_b2_pruned,entropy,efficientnet_b2_pruned-entropy
4,0.3999999999999999,0.8420137651999999,-3.3673372268676762,0.79908,0.8117680469908501,-1.6975773572921753,efficientnet_b2_pruned,entropy,efficientnet_b2_pruned-entropy
5,0.5,0.8236942556,-3.2208902835845947,0.79908,0.8117680469908501,-1.6975773572921753,efficientnet_b2_pruned,entropy,efficientnet_b2_pruned-entropy
6,0.6,0.8031869603999999,-3.076786756515503,0.79908,0.8117680469908501,-1.6975773572921753,efficientnet_b2_pruned,entropy,efficientnet_b2_pruned-entropy
7,0.7,0.7812134484,-2.924202442169189,0.79908,0.8117680469908501,-1.6975773572921753,efficientnet_b2_pruned,entropy,efficientnet_b2_pruned-entropy
8,0.8,0.7496261376,-2.7382562160491943,0.79908,0.8117680469908501,-1.6975773572921753,efficientnet_b2_pruned,entropy,efficientnet_b2_pruned-entropy
9,0.9,0.7119828656,-2.529144048690796,0.79908,0.8117680469908501,-1.6975773572921753,efficientnet_b2_pruned,entropy,efficientnet_b2_pruned-entropy
10,1.0,0.6250920492,-2.1146917343139653,0.79908,0.8117680469908501,-1.6975773572921753,efficientnet_b2_pruned,entropy,efficientnet_b2_pruned-entropy
