severity level,percentile,ood-auroc,ood_avg_conf,id-acc,id-auroc,id_avg_conf,model name,confidence function,model name - confidence function
0,0.0,0.907207196,0.02738732099533081,0.8276399999999999,0.7819758925772711,0.061161551624536514,efficientnet_b4,odin_temperature-2_noise_mag-1e-05,efficientnet_b4-odin_temperature-2_noise_mag-1e-05
1,0.1,0.8759536572,0.031555645167827606,0.8276399999999999,0.7819758925772711,0.061161551624536514,efficientnet_b4,odin_temperature-2_noise_mag-1e-05,efficientnet_b4-odin_temperature-2_noise_mag-1e-05
2,0.2,0.8559294120000001,0.03367678076028824,0.8276399999999999,0.7819758925772711,0.061161551624536514,efficientnet_b4,odin_temperature-2_noise_mag-1e-05,efficientnet_b4-odin_temperature-2_noise_mag-1e-05
3,0.30000000000000004,0.8371733396,0.035613592714071274,0.8276399999999999,0.7819758925772711,0.061161551624536514,efficientnet_b4,odin_temperature-2_noise_mag-1e-05,efficientnet_b4-odin_temperature-2_noise_mag-1e-05
4,0.4,0.8209947120000001,0.03719455748796463,0.8276399999999999,0.7819758925772711,0.061161551624536514,efficientnet_b4,odin_temperature-2_noise_mag-1e-05,efficientnet_b4-odin_temperature-2_noise_mag-1e-05
5,0.5,0.801736582,0.03909369930624962,0.8276399999999999,0.7819758925772711,0.061161551624536514,efficientnet_b4,odin_temperature-2_noise_mag-1e-05,efficientnet_b4-odin_temperature-2_noise_mag-1e-05
6,0.6000000000000001,0.7770338276000001,0.04125937446951866,0.8276399999999999,0.7819758925772711,0.061161551624536514,efficientnet_b4,odin_temperature-2_noise_mag-1e-05,efficientnet_b4-odin_temperature-2_noise_mag-1e-05
7,0.7000000000000001,0.7570413348,0.04304424673318863,0.8276399999999999,0.7819758925772711,0.061161551624536514,efficientnet_b4,odin_temperature-2_noise_mag-1e-05,efficientnet_b4-odin_temperature-2_noise_mag-1e-05
8,0.8,0.7225945876000001,0.04568379372358322,0.8276399999999999,0.7819758925772711,0.061161551624536514,efficientnet_b4,odin_temperature-2_noise_mag-1e-05,efficientnet_b4-odin_temperature-2_noise_mag-1e-05
9,0.9,0.6887728672,0.048355571925640106,0.8276399999999999,0.7819758925772711,0.061161551624536514,efficientnet_b4,odin_temperature-2_noise_mag-1e-05,efficientnet_b4-odin_temperature-2_noise_mag-1e-05
10,1.0,0.6011745208,0.05464178323745728,0.8276399999999999,0.7819758925772711,0.061161551624536514,efficientnet_b4,odin_temperature-2_noise_mag-1e-05,efficientnet_b4-odin_temperature-2_noise_mag-1e-05
