severity level,percentile,ood-auroc,ood_avg_conf,id-acc,id-auroc,id_avg_conf,model name,confidence function,model name - confidence function
0,0.0,0.6153354120000001,0.001000195974484086,0.00116,0.5198468154093231,0.0010002503404393792,efficientnet_b6,softmax,efficientnet_b6-softmax
1,0.1,0.5751061196,0.0010002106428146362,0.00116,0.5198468154093231,0.0010002503404393792,efficientnet_b6,softmax,efficientnet_b6-softmax
2,0.2,0.550536688,0.0010002204217016695,0.00116,0.5198468154093231,0.0010002503404393792,efficientnet_b6,softmax,efficientnet_b6-softmax
3,0.30000000000000004,0.5285132220000001,0.0010002302005887034,0.00116,0.5198468154093231,0.0010002503404393792,efficientnet_b6,softmax,efficientnet_b6-softmax
4,0.4,0.5070570308,0.0010002414928749204,0.00116,0.5198468154093231,0.0010002503404393792,efficientnet_b6,softmax,efficientnet_b6-softmax
5,0.5,0.4768055124,0.001000256626866758,0.00116,0.5198468154093231,0.0010002503404393792,efficientnet_b6,softmax,efficientnet_b6-softmax
6,0.6000000000000001,0.43756172439999996,0.001000278745777905,0.00116,0.5198468154093231,0.0010002503404393792,efficientnet_b6,softmax,efficientnet_b6-softmax
7,0.7000000000000001,0.4021413244,0.0010003007482737305,0.00116,0.5198468154093231,0.0010002503404393792,efficientnet_b6,softmax,efficientnet_b6-softmax
8,0.8,0.3670743216,0.0010003261268138883,0.00116,0.5198468154093231,0.0010002503404393792,efficientnet_b6,softmax,efficientnet_b6-softmax
9,0.9,0.3198857208,0.001000371528789401,0.00116,0.5198468154093231,0.0010002503404393792,efficientnet_b6,softmax,efficientnet_b6-softmax
10,1.0,0.22612861280000002,0.0010005024960264564,0.00116,0.5198468154093231,0.0010002503404393792,efficientnet_b6,softmax,efficientnet_b6-softmax
