severity level,percentile,ood-auroc,ood_avg_conf,id-acc,id-auroc,id_avg_conf,model name,confidence function,model name - confidence function
0,0.0,0.9030041364,6.377603530883789,0.7924800000000001,0.7805198983202317,8.80720043182373,efficientnet_em,max_logit,efficientnet_em-max_logit
1,0.1,0.8727257843999999,6.687302112579347,0.7924800000000001,0.7805198983202317,8.80720043182373,efficientnet_em,max_logit,efficientnet_em-max_logit
2,0.2,0.8550663216,6.8415770530700675,0.7924800000000001,0.7805198983202317,8.80720043182373,efficientnet_em,max_logit,efficientnet_em-max_logit
3,0.30000000000000004,0.8409886520000001,6.959383964538574,0.7924800000000001,0.7805198983202317,8.80720043182373,efficientnet_em,max_logit,efficientnet_em-max_logit
4,0.4,0.8233832056,7.083656311035156,0.7924800000000001,0.7805198983202317,8.80720043182373,efficientnet_em,max_logit,efficientnet_em-max_logit
5,0.5,0.8053479112,7.209965705871582,0.7924800000000001,0.7805198983202317,8.80720043182373,efficientnet_em,max_logit,efficientnet_em-max_logit
6,0.6000000000000001,0.7859384420000001,7.344726085662843,0.7924800000000001,0.7805198983202317,8.80720043182373,efficientnet_em,max_logit,efficientnet_em-max_logit
7,0.7000000000000001,0.7602109,7.502366065979004,0.7924800000000001,0.7805198983202317,8.80720043182373,efficientnet_em,max_logit,efficientnet_em-max_logit
8,0.8,0.7306098123999999,7.676539421081543,0.7924800000000001,0.7805198983202317,8.80720043182373,efficientnet_em,max_logit,efficientnet_em-max_logit
9,0.9,0.6921216823999999,7.884037971496582,0.7924800000000001,0.7805198983202317,8.80720043182373,efficientnet_em,max_logit,efficientnet_em-max_logit
10,1.0,0.6051957847999999,8.303034782409668,0.7924800000000001,0.7805198983202317,8.80720043182373,efficientnet_em,max_logit,efficientnet_em-max_logit
