severity level,percentile,ood-auroc,ood_avg_conf,id-acc,id-auroc,id_avg_conf,model name,confidence function,model name - confidence function
0,0.0,0.8937437176,-4.159924507141113,0.75122,0.7986052856980428,-1.7695070505142212,fbnetc_100,entropy,fbnetc_100-entropy
1,0.09999999999999998,0.8643860768,-3.873640537261963,0.75122,0.7986052856980428,-1.7695070505142212,fbnetc_100,entropy,fbnetc_100-entropy
2,0.19999999999999996,0.8493197772000001,-3.7313044071197514,0.75122,0.7986052856980428,-1.7695070505142212,fbnetc_100,entropy,fbnetc_100-entropy
3,0.29999999999999993,0.8336150604,-3.61574125289917,0.75122,0.7986052856980428,-1.7695070505142212,fbnetc_100,entropy,fbnetc_100-entropy
4,0.3999999999999999,0.817710986,-3.4889206886291504,0.75122,0.7986052856980428,-1.7695070505142212,fbnetc_100,entropy,fbnetc_100-entropy
5,0.5,0.7993017404,-3.358534336090088,0.75122,0.7986052856980428,-1.7695070505142212,fbnetc_100,entropy,fbnetc_100-entropy
6,0.6,0.7789875168,-3.2209136486053467,0.75122,0.7986052856980428,-1.7695070505142212,fbnetc_100,entropy,fbnetc_100-entropy
7,0.7,0.754688932,-3.0575475692749023,0.75122,0.7986052856980428,-1.7695070505142212,fbnetc_100,entropy,fbnetc_100-entropy
8,0.8,0.7301266399999999,-2.889963388442993,0.75122,0.7986052856980428,-1.7695070505142212,fbnetc_100,entropy,fbnetc_100-entropy
9,0.9,0.6919243416,-2.6625781059265137,0.75122,0.7986052856980428,-1.7695070505142212,fbnetc_100,entropy,fbnetc_100-entropy
10,1.0,0.6125788943999999,-2.23903489112854,0.75122,0.7986052856980428,-1.7695070505142212,fbnetc_100,entropy,fbnetc_100-entropy
