severity level,percentile,ood-auroc,ood_avg_conf,id-acc,id-auroc,id_avg_conf,model name,confidence function,model name - confidence function
0,0.0,0.9024095064000001,0.1621607542037964,0.76894,0.8357573458621249,0.5885164737701416,gernet_s,softmax,gernet_s-softmax
1,0.1,0.8787689031999999,0.1900828927755356,0.76894,0.8357573458621249,0.5885164737701416,gernet_s,softmax,gernet_s-softmax
2,0.2,0.8617382556000001,0.2094731628894806,0.76894,0.8357573458621249,0.5885164737701416,gernet_s,softmax,gernet_s-softmax
3,0.30000000000000004,0.8476109328,0.22570984065532684,0.76894,0.8357573458621249,0.5885164737701416,gernet_s,softmax,gernet_s-softmax
4,0.4,0.8308493076000001,0.2445268332958221,0.76894,0.8357573458621249,0.5885164737701416,gernet_s,softmax,gernet_s-softmax
5,0.5,0.8119243064,0.2656391859054565,0.76894,0.8357573458621249,0.5885164737701416,gernet_s,softmax,gernet_s-softmax
6,0.6000000000000001,0.7916364271999999,0.2882803976535797,0.76894,0.8357573458621249,0.5885164737701416,gernet_s,softmax,gernet_s-softmax
7,0.7000000000000001,0.7676041607999999,0.3146745562553406,0.76894,0.8357573458621249,0.5885164737701416,gernet_s,softmax,gernet_s-softmax
8,0.8,0.739504504,0.3454672396183014,0.76894,0.8357573458621249,0.5885164737701416,gernet_s,softmax,gernet_s-softmax
9,0.9,0.6983714252,0.389106810092926,0.76894,0.8357573458621249,0.5885164737701416,gernet_s,softmax,gernet_s-softmax
10,1.0,0.6091472428,0.4818962216377258,0.76894,0.8357573458621249,0.5885164737701416,gernet_s,softmax,gernet_s-softmax
