severity level,percentile,ood-auroc,ood_avg_conf,id-acc,id-auroc,id_avg_conf,model name,confidence function,model name - confidence function
0,0.0,0.9051674244,-4.057328701019287,0.7931,0.8140907838565823,-1.5501294136047363,gluon_resnet101_v1b,entropy,gluon_resnet101_v1b-entropy
1,0.09999999999999998,0.8794406968,-3.759345531463623,0.7931,0.8140907838565823,-1.5501294136047363,gluon_resnet101_v1b,entropy,gluon_resnet101_v1b-entropy
2,0.19999999999999996,0.8661107528,-3.614906549453736,0.7931,0.8140907838565823,-1.5501294136047363,gluon_resnet101_v1b,entropy,gluon_resnet101_v1b-entropy
3,0.29999999999999993,0.8510013084,-3.4857277870178223,0.7931,0.8140907838565823,-1.5501294136047363,gluon_resnet101_v1b,entropy,gluon_resnet101_v1b-entropy
4,0.3999999999999999,0.832910786,-3.3467724323272705,0.7931,0.8140907838565823,-1.5501294136047363,gluon_resnet101_v1b,entropy,gluon_resnet101_v1b-entropy
5,0.5,0.816795714,-3.2053563594818115,0.7931,0.8140907838565823,-1.5501294136047363,gluon_resnet101_v1b,entropy,gluon_resnet101_v1b-entropy
6,0.6,0.7954494248,-3.034559488296509,0.7931,0.8140907838565823,-1.5501294136047363,gluon_resnet101_v1b,entropy,gluon_resnet101_v1b-entropy
7,0.7,0.7722844668,-2.87129807472229,0.7931,0.8140907838565823,-1.5501294136047363,gluon_resnet101_v1b,entropy,gluon_resnet101_v1b-entropy
8,0.8,0.7463340148,-2.687978982925415,0.7931,0.8140907838565823,-1.5501294136047363,gluon_resnet101_v1b,entropy,gluon_resnet101_v1b-entropy
9,0.9,0.706612554,-2.432199478149414,0.7931,0.8140907838565823,-1.5501294136047363,gluon_resnet101_v1b,entropy,gluon_resnet101_v1b-entropy
10,1.0,0.6231618528,-1.982806205749512,0.7931,0.8140907838565823,-1.5501294136047363,gluon_resnet101_v1b,entropy,gluon_resnet101_v1b-entropy
