severity level,percentile,ood-auroc,ood_avg_conf,id-acc,id-auroc,id_avg_conf,model name,confidence function,model name - confidence function
0,0.0,0.9343493996,-3.6654789447784415,0.787,0.8510885289713717,-0.8563801646232605,gluon_resnet50_v1s,entropy,gluon_resnet50_v1s-entropy
1,0.09999999999999998,0.9105607099999999,-3.2653043270111084,0.787,0.8510885289713717,-0.8563801646232605,gluon_resnet50_v1s,entropy,gluon_resnet50_v1s-entropy
2,0.19999999999999996,0.8924859496,-3.0219936370849614,0.787,0.8510885289713717,-0.8563801646232605,gluon_resnet50_v1s,entropy,gluon_resnet50_v1s-entropy
3,0.29999999999999993,0.874804952,-2.7907001972198486,0.787,0.8510885289713717,-0.8563801646232605,gluon_resnet50_v1s,entropy,gluon_resnet50_v1s-entropy
4,0.3999999999999999,0.8596485996000001,-2.614504337310791,0.787,0.8510885289713717,-0.8563801646232605,gluon_resnet50_v1s,entropy,gluon_resnet50_v1s-entropy
5,0.5,0.840256496,-2.431483507156372,0.787,0.8510885289713717,-0.8563801646232605,gluon_resnet50_v1s,entropy,gluon_resnet50_v1s-entropy
6,0.6,0.8220706136,-2.259163856506348,0.787,0.8510885289713717,-0.8563801646232605,gluon_resnet50_v1s,entropy,gluon_resnet50_v1s-entropy
7,0.7,0.7980492428,-2.0552330017089844,0.787,0.8510885289713717,-0.8563801646232605,gluon_resnet50_v1s,entropy,gluon_resnet50_v1s-entropy
8,0.8,0.7695922328,-1.86487877368927,0.787,0.8510885289713717,-0.8563801646232605,gluon_resnet50_v1s,entropy,gluon_resnet50_v1s-entropy
9,0.9,0.7330651876000001,-1.6359522342681885,0.787,0.8510885289713717,-0.8563801646232605,gluon_resnet50_v1s,entropy,gluon_resnet50_v1s-entropy
10,1.0,0.643566402,-1.2131911516189575,0.787,0.8510885289713717,-0.8563801646232605,gluon_resnet50_v1s,entropy,gluon_resnet50_v1s-entropy
