severity level,percentile,ood-auroc,ood_avg_conf,id-acc,id-auroc,id_avg_conf,model name,confidence function,model name - confidence function
0,0.0,0.9131677916,0.3032141327857971,0.787,0.8691353794942462,0.8029246926307678,gluon_resnet50_v1s,softmax,gluon_resnet50_v1s-softmax
1,0.1,0.888749146,0.3552834689617157,0.787,0.8691353794942462,0.8029246926307678,gluon_resnet50_v1s,softmax,gluon_resnet50_v1s-softmax
2,0.2,0.8710017312,0.3892812132835388,0.787,0.8691353794942462,0.8029246926307678,gluon_resnet50_v1s,softmax,gluon_resnet50_v1s-softmax
3,0.30000000000000004,0.8580325208,0.4165996015071869,0.787,0.8691353794942462,0.8029246926307678,gluon_resnet50_v1s,softmax,gluon_resnet50_v1s-softmax
4,0.4,0.8408387064,0.4454569220542908,0.787,0.8691353794942462,0.8029246926307678,gluon_resnet50_v1s,softmax,gluon_resnet50_v1s-softmax
5,0.5,0.8250053279999999,0.47328120470047,0.787,0.8691353794942462,0.8029246926307678,gluon_resnet50_v1s,softmax,gluon_resnet50_v1s-softmax
6,0.6000000000000001,0.8084407992,0.4998112618923187,0.787,0.8691353794942462,0.8029246926307678,gluon_resnet50_v1s,softmax,gluon_resnet50_v1s-softmax
7,0.7000000000000001,0.7884867195999999,0.5304912924766539,0.787,0.8691353794942462,0.8029246926307678,gluon_resnet50_v1s,softmax,gluon_resnet50_v1s-softmax
8,0.8,0.7635621043999999,0.5652398467063904,0.787,0.8691353794942462,0.8029246926307678,gluon_resnet50_v1s,softmax,gluon_resnet50_v1s-softmax
9,0.9,0.7250797656,0.614529013633728,0.787,0.8691353794942462,0.8029246926307678,gluon_resnet50_v1s,softmax,gluon_resnet50_v1s-softmax
10,1.0,0.6379922092,0.7066925168037415,0.787,0.8691353794942462,0.8029246926307678,gluon_resnet50_v1s,softmax,gluon_resnet50_v1s-softmax
