severity level,percentile,ood-auroc,ood_avg_conf,id-acc,id-auroc,id_avg_conf,model name,confidence function,model name - confidence function
0,0.0,0.9085423028,-4.5893826484680185,0.6976600000000001,0.8162493318107922,-1.8288712501525881,googlenet_torchvision,entropy,googlenet_torchvision-entropy
1,0.09999999999999998,0.8803038956,-4.299245834350587,0.6976600000000001,0.8162493318107922,-1.8288712501525881,googlenet_torchvision,entropy,googlenet_torchvision-entropy
2,0.19999999999999996,0.8584559648,-4.094754695892334,0.6976600000000001,0.8162493318107922,-1.8288712501525881,googlenet_torchvision,entropy,googlenet_torchvision-entropy
3,0.29999999999999993,0.8388450496,-3.922183990478516,0.6976600000000001,0.8162493318107922,-1.8288712501525881,googlenet_torchvision,entropy,googlenet_torchvision-entropy
4,0.3999999999999999,0.8200410739999999,-3.755326271057129,0.6976600000000001,0.8162493318107922,-1.8288712501525881,googlenet_torchvision,entropy,googlenet_torchvision-entropy
5,0.5,0.7992408804,-3.5799655914306636,0.6976600000000001,0.8162493318107922,-1.8288712501525881,googlenet_torchvision,entropy,googlenet_torchvision-entropy
6,0.6,0.7778519244,-3.4181334972381587,0.6976600000000001,0.8162493318107922,-1.8288712501525881,googlenet_torchvision,entropy,googlenet_torchvision-entropy
7,0.7,0.7506503452,-3.212423086166382,0.6976600000000001,0.8162493318107922,-1.8288712501525881,googlenet_torchvision,entropy,googlenet_torchvision-entropy
8,0.8,0.7200597724,-2.994298219680786,0.6976600000000001,0.8162493318107922,-1.8288712501525881,googlenet_torchvision,entropy,googlenet_torchvision-entropy
9,0.9,0.6783005884,-2.7303640842437744,0.6976600000000001,0.8162493318107922,-1.8288712501525881,googlenet_torchvision,entropy,googlenet_torchvision-entropy
10,1.0,0.5878478368,-2.1901869773864746,0.6976600000000001,0.8162493318107922,-1.8288712501525881,googlenet_torchvision,entropy,googlenet_torchvision-entropy
