severity level,percentile,ood-auroc,ood_avg_conf,id-acc,id-auroc,id_avg_conf,model name,confidence function,model name - confidence function
0,0.0,0.9209866056,-3.958286762237549,0.76544,0.8280252014053495,-1.399075269699097,hardcorenas_b,entropy,hardcorenas_b-entropy
1,0.09999999999999998,0.891844152,-3.5797328948974614,0.76544,0.8280252014053495,-1.399075269699097,hardcorenas_b,entropy,hardcorenas_b-entropy
2,0.19999999999999996,0.8761494496,-3.4164862632751465,0.76544,0.8280252014053495,-1.399075269699097,hardcorenas_b,entropy,hardcorenas_b-entropy
3,0.29999999999999993,0.8611983468,-3.2771613597869877,0.76544,0.8280252014053495,-1.399075269699097,hardcorenas_b,entropy,hardcorenas_b-entropy
4,0.3999999999999999,0.8484374459999999,-3.167208194732666,0.76544,0.8280252014053495,-1.399075269699097,hardcorenas_b,entropy,hardcorenas_b-entropy
5,0.5,0.8294377872,-3.0204899311065674,0.76544,0.8280252014053495,-1.399075269699097,hardcorenas_b,entropy,hardcorenas_b-entropy
6,0.6,0.8078419656,-2.864882469177246,0.76544,0.8280252014053495,-1.399075269699097,hardcorenas_b,entropy,hardcorenas_b-entropy
7,0.7,0.7825641152,-2.692211151123047,0.76544,0.8280252014053495,-1.399075269699097,hardcorenas_b,entropy,hardcorenas_b-entropy
8,0.8,0.7555940971999999,-2.518064260482788,0.76544,0.8280252014053495,-1.399075269699097,hardcorenas_b,entropy,hardcorenas_b-entropy
9,0.9,0.717027978,-2.293248653411865,0.76544,0.8280252014053495,-1.399075269699097,hardcorenas_b,entropy,hardcorenas_b-entropy
10,1.0,0.62918754,-1.8585216999053955,0.76544,0.8280252014053495,-1.399075269699097,hardcorenas_b,entropy,hardcorenas_b-entropy
