severity level,percentile,ood-auroc,ood_avg_conf,id-acc,id-auroc,id_avg_conf,model name,confidence function,model name - confidence function
0,0.0,0.9178187036000001,-3.7064924240112314,0.72332,0.8406082382673933,-1.143981695175171,hrnet_w18_small,entropy,hrnet_w18_small-entropy
1,0.09999999999999998,0.8857224132,-3.3312015533447266,0.72332,0.8406082382673933,-1.143981695175171,hrnet_w18_small,entropy,hrnet_w18_small-entropy
2,0.19999999999999996,0.8633380416,-3.0709869861602783,0.72332,0.8406082382673933,-1.143981695175171,hrnet_w18_small,entropy,hrnet_w18_small-entropy
3,0.29999999999999993,0.8432000372,-2.8700709342956543,0.72332,0.8406082382673933,-1.143981695175171,hrnet_w18_small,entropy,hrnet_w18_small-entropy
4,0.3999999999999999,0.8252217568,-2.705902576446533,0.72332,0.8406082382673933,-1.143981695175171,hrnet_w18_small,entropy,hrnet_w18_small-entropy
5,0.5,0.8032372444,-2.528679609298706,0.72332,0.8406082382673933,-1.143981695175171,hrnet_w18_small,entropy,hrnet_w18_small-entropy
6,0.6,0.7791533416,-2.348979949951172,0.72332,0.8406082382673933,-1.143981695175171,hrnet_w18_small,entropy,hrnet_w18_small-entropy
7,0.7,0.754342084,-2.1762380599975586,0.72332,0.8406082382673933,-1.143981695175171,hrnet_w18_small,entropy,hrnet_w18_small-entropy
8,0.8,0.7256744900000001,-1.9976701736450195,0.72332,0.8406082382673933,-1.143981695175171,hrnet_w18_small,entropy,hrnet_w18_small-entropy
9,0.9,0.6854271772,-1.7776434421539309,0.72332,0.8406082382673933,-1.143981695175171,hrnet_w18_small,entropy,hrnet_w18_small-entropy
10,1.0,0.5935963764000001,-1.348179578781128,0.72332,0.8406082382673933,-1.143981695175171,hrnet_w18_small,entropy,hrnet_w18_small-entropy
