severity level,percentile,ood-auroc,ood_avg_conf,id-acc,id-auroc,id_avg_conf,model name,confidence function,model name - confidence function
0,0.0,0.90769215,0.3518282771110535,0.7894,0.8668120305346891,0.8297235369682312,hrnet_w40,softmax,hrnet_w40-softmax
1,0.1,0.8814385351999999,0.4123863279819489,0.7894,0.8668120305346891,0.8297235369682312,hrnet_w40,softmax,hrnet_w40-softmax
2,0.2,0.8627205128000001,0.4481066465377808,0.7894,0.8668120305346891,0.8297235369682312,hrnet_w40,softmax,hrnet_w40-softmax
3,0.30000000000000004,0.850717466,0.4726347327232361,0.7894,0.8668120305346891,0.8297235369682312,hrnet_w40,softmax,hrnet_w40-softmax
4,0.4,0.8368218356,0.4974650144577026,0.7894,0.8668120305346891,0.8297235369682312,hrnet_w40,softmax,hrnet_w40-softmax
5,0.5,0.8213547188,0.523317813873291,0.7894,0.8668120305346891,0.8297235369682312,hrnet_w40,softmax,hrnet_w40-softmax
6,0.6000000000000001,0.8064651064,0.5454182624816895,0.7894,0.8668120305346891,0.8297235369682312,hrnet_w40,softmax,hrnet_w40-softmax
7,0.7000000000000001,0.7891272616,0.571747899055481,0.7894,0.8668120305346891,0.8297235369682312,hrnet_w40,softmax,hrnet_w40-softmax
8,0.8,0.7637390092,0.6077625155448914,0.7894,0.8668120305346891,0.8297235369682312,hrnet_w40,softmax,hrnet_w40-softmax
9,0.9,0.7320075136,0.6478116512298584,0.7894,0.8668120305346891,0.8297235369682312,hrnet_w40,softmax,hrnet_w40-softmax
10,1.0,0.6467487648,0.7339805960655212,0.7894,0.8668120305346891,0.8297235369682312,hrnet_w40,softmax,hrnet_w40-softmax
