severity level,percentile,ood-auroc,ood_avg_conf,id-acc,id-auroc,id_avg_conf,model name,confidence function,model name - confidence function
0,0.0,0.9032896356,-3.942403078079224,0.81324,0.8123652580632259,-1.5821701288223269,legacy_senet154,entropy,legacy_senet154-entropy
1,0.09999999999999998,0.8793925668,-3.6292240619659424,0.81324,0.8123652580632259,-1.5821701288223269,legacy_senet154,entropy,legacy_senet154-entropy
2,0.19999999999999996,0.8641422704,-3.484662771224976,0.81324,0.8123652580632259,-1.5821701288223269,legacy_senet154,entropy,legacy_senet154-entropy
3,0.29999999999999993,0.8473994352,-3.3475730419158936,0.81324,0.8123652580632259,-1.5821701288223269,legacy_senet154,entropy,legacy_senet154-entropy
4,0.3999999999999999,0.8276097172,-3.1879765987396236,0.81324,0.8123652580632259,-1.5821701288223269,legacy_senet154,entropy,legacy_senet154-entropy
5,0.5,0.8089543988,-3.03403377532959,0.81324,0.8123652580632259,-1.5821701288223269,legacy_senet154,entropy,legacy_senet154-entropy
6,0.6,0.7873918268,-2.850975513458252,0.81324,0.8123652580632259,-1.5821701288223269,legacy_senet154,entropy,legacy_senet154-entropy
7,0.7,0.7630848404,-2.688478708267212,0.81324,0.8123652580632259,-1.5821701288223269,legacy_senet154,entropy,legacy_senet154-entropy
8,0.8,0.7376074956,-2.513490438461304,0.81324,0.8123652580632259,-1.5821701288223269,legacy_senet154,entropy,legacy_senet154-entropy
9,0.9,0.7050042480000001,-2.303480863571167,0.81324,0.8123652580632259,-1.5821701288223269,legacy_senet154,entropy,legacy_senet154-entropy
10,1.0,0.620916276,-1.9116965532302856,0.81324,0.8123652580632259,-1.5821701288223269,legacy_senet154,entropy,legacy_senet154-entropy
