severity level,percentile,ood-auroc,ood_avg_conf,id-acc,id-auroc,id_avg_conf,model name,confidence function,model name - confidence function
0,0.0,0.9242993152,-3.3034939765930176,0.74778,0.8585469702713975,-0.8081618547439575,legacy_seresnet34,entropy,legacy_seresnet34-entropy
1,0.09999999999999998,0.9015185644,-2.9104135036468506,0.74778,0.8585469702713975,-0.8081618547439575,legacy_seresnet34,entropy,legacy_seresnet34-entropy
2,0.19999999999999996,0.8824173488,-2.682462453842163,0.74778,0.8585469702713975,-0.8081618547439575,legacy_seresnet34,entropy,legacy_seresnet34-entropy
3,0.29999999999999993,0.8608479812000001,-2.4628467559814453,0.74778,0.8585469702713975,-0.8081618547439575,legacy_seresnet34,entropy,legacy_seresnet34-entropy
4,0.3999999999999999,0.845458672,-2.311420440673828,0.74778,0.8585469702713975,-0.8081618547439575,legacy_seresnet34,entropy,legacy_seresnet34-entropy
5,0.5,0.8296324496,-2.1537652015686035,0.74778,0.8585469702713975,-0.8081618547439575,legacy_seresnet34,entropy,legacy_seresnet34-entropy
6,0.6,0.8067797136,-1.994880199432373,0.74778,0.8585469702713975,-0.8081618547439575,legacy_seresnet34,entropy,legacy_seresnet34-entropy
7,0.7,0.7864665684000001,-1.8531956672668457,0.74778,0.8585469702713975,-0.8081618547439575,legacy_seresnet34,entropy,legacy_seresnet34-entropy
8,0.8,0.7610855472,-1.6950440406799316,0.74778,0.8585469702713975,-0.8081618547439575,legacy_seresnet34,entropy,legacy_seresnet34-entropy
9,0.9,0.7238509964,-1.4971941709518433,0.74778,0.8585469702713975,-0.8081618547439575,legacy_seresnet34,entropy,legacy_seresnet34-entropy
10,1.0,0.6352844004,-1.1101458072662354,0.74778,0.8585469702713975,-0.8081618547439575,legacy_seresnet34,entropy,legacy_seresnet34-entropy
