severity level,percentile,ood-auroc,ood_avg_conf,id-acc,id-auroc,id_avg_conf,model name,confidence function,model name - confidence function
0,0.0,0.908764694,0.4276809394359589,0.81512,0.8716672644483562,0.8639744520187378,levit_256,softmax,levit_256-softmax
1,0.1,0.893070466,0.4652582406997681,0.81512,0.8716672644483562,0.8639744520187378,levit_256,softmax,levit_256-softmax
2,0.2,0.8817021572,0.4891969263553619,0.81512,0.8716672644483562,0.8639744520187378,levit_256,softmax,levit_256-softmax
3,0.30000000000000004,0.8720474208,0.5088613033294678,0.81512,0.8716672644483562,0.8639744520187378,levit_256,softmax,levit_256-softmax
4,0.4,0.85867125,0.5351602435112001,0.81512,0.8716672644483562,0.8639744520187378,levit_256,softmax,levit_256-softmax
5,0.5,0.8431445916,0.5638540983200073,0.81512,0.8716672644483562,0.8639744520187378,levit_256,softmax,levit_256-softmax
6,0.6000000000000001,0.8282875195999999,0.5900472402572632,0.81512,0.8716672644483562,0.8639744520187378,levit_256,softmax,levit_256-softmax
7,0.7000000000000001,0.8079382704000001,0.6218544244766235,0.81512,0.8716672644483562,0.8639744520187378,levit_256,softmax,levit_256-softmax
8,0.8,0.785656,0.6534937024116516,0.81512,0.8716672644483562,0.8639744520187378,levit_256,softmax,levit_256-softmax
9,0.9,0.7521444984000001,0.6975776553153992,0.81512,0.8716672644483562,0.8639744520187378,levit_256,softmax,levit_256-softmax
10,1.0,0.6518754804,0.7867196798324585,0.81512,0.8716672644483562,0.8639744520187378,levit_256,softmax,levit_256-softmax
