severity level,percentile,ood-auroc,ood_avg_conf,id-acc,id-auroc,id_avg_conf,model name,confidence function,model name - confidence function
0,0.0,0.8479340851999999,0.6309876441955566,0.7207,0.803583084055557,0.9222956895828248,mixer_l16_224,softmax,mixer_l16_224-softmax
1,0.1,0.820197084,0.6752969622612,0.7207,0.803583084055557,0.9222956895828248,mixer_l16_224,softmax,mixer_l16_224-softmax
2,0.2,0.8045978716,0.698989748954773,0.7207,0.803583084055557,0.9222956895828248,mixer_l16_224,softmax,mixer_l16_224-softmax
3,0.30000000000000004,0.7919845487999999,0.7138769030570984,0.7207,0.803583084055557,0.9222956895828248,mixer_l16_224,softmax,mixer_l16_224-softmax
4,0.4,0.7749669436,0.7345100641250609,0.7207,0.803583084055557,0.9222956895828248,mixer_l16_224,softmax,mixer_l16_224-softmax
5,0.5,0.7546179908,0.7558643221855164,0.7207,0.803583084055557,0.9222956895828248,mixer_l16_224,softmax,mixer_l16_224-softmax
6,0.6000000000000001,0.7319554964,0.7801804542541504,0.7207,0.803583084055557,0.9222956895828248,mixer_l16_224,softmax,mixer_l16_224-softmax
7,0.7000000000000001,0.7052312959999999,0.8047320246696472,0.7207,0.803583084055557,0.9222956895828248,mixer_l16_224,softmax,mixer_l16_224-softmax
8,0.8,0.6821378295999999,0.8264325261116028,0.7207,0.803583084055557,0.9222956895828248,mixer_l16_224,softmax,mixer_l16_224-softmax
9,0.9,0.6493428032,0.8531997799873352,0.7207,0.803583084055557,0.9222956895828248,mixer_l16_224,softmax,mixer_l16_224-softmax
10,1.0,0.5793086507999999,0.8948366641998291,0.7207,0.803583084055557,0.9222956895828248,mixer_l16_224,softmax,mixer_l16_224-softmax
