severity level,percentile,ood-auroc,ood_avg_conf,id-acc,id-auroc,id_avg_conf,model name,confidence function,model name - confidence function
0,0.0,0.905212634,-3.5158324241638184,0.6766399999999999,0.8497906024049444,-1.1536784172058103,mobilenet_v3_small_torchvision,entropy,mobilenet_v3_small_torchvision-entropy
1,0.09999999999999998,0.8691741092,-3.0877227783203125,0.6766399999999999,0.8497906024049444,-1.1536784172058103,mobilenet_v3_small_torchvision,entropy,mobilenet_v3_small_torchvision-entropy
2,0.19999999999999996,0.8401999692,-2.8062853813171387,0.6766399999999999,0.8497906024049444,-1.1536784172058103,mobilenet_v3_small_torchvision,entropy,mobilenet_v3_small_torchvision-entropy
3,0.29999999999999993,0.81926036,-2.6172754764556885,0.6766399999999999,0.8497906024049444,-1.1536784172058103,mobilenet_v3_small_torchvision,entropy,mobilenet_v3_small_torchvision-entropy
4,0.3999999999999999,0.7984881512,-2.4526052474975586,0.6766399999999999,0.8497906024049444,-1.1536784172058103,mobilenet_v3_small_torchvision,entropy,mobilenet_v3_small_torchvision-entropy
5,0.5,0.7770200404000001,-2.316958427429199,0.6766399999999999,0.8497906024049444,-1.1536784172058103,mobilenet_v3_small_torchvision,entropy,mobilenet_v3_small_torchvision-entropy
6,0.6,0.751467734,-2.1560616493225098,0.6766399999999999,0.8497906024049444,-1.1536784172058103,mobilenet_v3_small_torchvision,entropy,mobilenet_v3_small_torchvision-entropy
7,0.7,0.7256232,-1.9985482692718504,0.6766399999999999,0.8497906024049444,-1.1536784172058103,mobilenet_v3_small_torchvision,entropy,mobilenet_v3_small_torchvision-entropy
8,0.8,0.6906136332,-1.8096162080764768,0.6766399999999999,0.8497906024049444,-1.1536784172058103,mobilenet_v3_small_torchvision,entropy,mobilenet_v3_small_torchvision-entropy
9,0.9,0.6452626548,-1.5897160768508911,0.6766399999999999,0.8497906024049444,-1.1536784172058103,mobilenet_v3_small_torchvision,entropy,mobilenet_v3_small_torchvision-entropy
10,1.0,0.5532956888,-1.2108979225158691,0.6766399999999999,0.8497906024049444,-1.1536784172058103,mobilenet_v3_small_torchvision,entropy,mobilenet_v3_small_torchvision-entropy
