severity level,percentile,ood-auroc,ood_avg_conf,id-acc,id-auroc,id_avg_conf,model name,confidence function,model name - confidence function
0,0.0,0.915956504,-4.5390214920043945,0.72932,0.8185456773599341,-1.8234807252883911,mobilenetv2_100,entropy,mobilenetv2_100-entropy
1,0.09999999999999998,0.8878765228,-4.236083030700684,0.72932,0.8185456773599341,-1.8234807252883911,mobilenetv2_100,entropy,mobilenetv2_100-entropy
2,0.19999999999999996,0.8701239196,-4.064582347869873,0.72932,0.8185456773599341,-1.8234807252883911,mobilenetv2_100,entropy,mobilenetv2_100-entropy
3,0.29999999999999993,0.8528174328,-3.915217399597168,0.72932,0.8185456773599341,-1.8234807252883911,mobilenetv2_100,entropy,mobilenetv2_100-entropy
4,0.3999999999999999,0.8350817728,-3.7591147422790527,0.72932,0.8185456773599341,-1.8234807252883911,mobilenetv2_100,entropy,mobilenetv2_100-entropy
5,0.5,0.8150471988,-3.6010866165161133,0.72932,0.8185456773599341,-1.8234807252883911,mobilenetv2_100,entropy,mobilenetv2_100-entropy
6,0.6,0.7925357664,-3.4319133758544917,0.72932,0.8185456773599341,-1.8234807252883911,mobilenetv2_100,entropy,mobilenetv2_100-entropy
7,0.7,0.766686638,-3.2454831600189213,0.72932,0.8185456773599341,-1.8234807252883911,mobilenetv2_100,entropy,mobilenetv2_100-entropy
8,0.8,0.7371226644,-3.044677734375,0.72932,0.8185456773599341,-1.8234807252883911,mobilenetv2_100,entropy,mobilenetv2_100-entropy
9,0.9,0.6953858868,-2.7785837650299072,0.72932,0.8185456773599341,-1.8234807252883911,mobilenetv2_100,entropy,mobilenetv2_100-entropy
10,1.0,0.6075576196,-2.27424693107605,0.72932,0.8185456773599341,-1.8234807252883911,mobilenetv2_100,entropy,mobilenetv2_100-entropy
