severity level,percentile,ood-auroc,ood_avg_conf,id-acc,id-auroc,id_avg_conf,model name,confidence function,model name - confidence function
0,0.0,0.9189148932,0.3885440230369568,0.80376,0.8756637728481275,0.8899677395820618,new_timm_resnet50,softmax,new_timm_resnet50-softmax
1,0.1,0.8988488424,0.44816118478775024,0.80376,0.8756637728481275,0.8899677395820618,new_timm_resnet50,softmax,new_timm_resnet50-softmax
2,0.2,0.8834599984,0.4876335859298706,0.80376,0.8756637728481275,0.8899677395820618,new_timm_resnet50,softmax,new_timm_resnet50-softmax
3,0.30000000000000004,0.8672425284,0.5269757509231567,0.80376,0.8756637728481275,0.8899677395820618,new_timm_resnet50,softmax,new_timm_resnet50-softmax
4,0.4,0.8524746143999999,0.5619690418243408,0.80376,0.8756637728481275,0.8899677395820618,new_timm_resnet50,softmax,new_timm_resnet50-softmax
5,0.5,0.83809388,0.59083092212677,0.80376,0.8756637728481275,0.8899677395820618,new_timm_resnet50,softmax,new_timm_resnet50-softmax
6,0.6000000000000001,0.8223094712000001,0.6210629940032959,0.80376,0.8756637728481275,0.8899677395820618,new_timm_resnet50,softmax,new_timm_resnet50-softmax
7,0.7000000000000001,0.8017555768000001,0.6548674702644348,0.80376,0.8756637728481275,0.8899677395820618,new_timm_resnet50,softmax,new_timm_resnet50-softmax
8,0.8,0.7795343272,0.6904965043067932,0.80376,0.8756637728481275,0.8899677395820618,new_timm_resnet50,softmax,new_timm_resnet50-softmax
9,0.9,0.7440510384000001,0.7393719553947449,0.80376,0.8756637728481275,0.8899677395820618,new_timm_resnet50,softmax,new_timm_resnet50-softmax
10,1.0,0.6545853876,0.8211263418197632,0.80376,0.8756637728481275,0.8899677395820618,new_timm_resnet50,softmax,new_timm_resnet50-softmax
