severity level,percentile,ood-auroc,ood_avg_conf,id-acc,id-auroc,id_avg_conf,model name,confidence function,model name - confidence function
0,0.0,0.9011060064,0.32319125533103943,0.81092,0.858224175899125,0.7331992387771606,pit_s_224,softmax,pit_s_224-softmax
1,0.1,0.8762190716,0.3711275458335877,0.81092,0.858224175899125,0.7331992387771606,pit_s_224,softmax,pit_s_224-softmax
2,0.2,0.8599617108,0.3978854417800903,0.81092,0.858224175899125,0.7331992387771606,pit_s_224,softmax,pit_s_224-softmax
3,0.30000000000000004,0.8401329944,0.4263406991958618,0.81092,0.858224175899125,0.7331992387771606,pit_s_224,softmax,pit_s_224-softmax
4,0.4,0.8234388048000001,0.4492024183273315,0.81092,0.858224175899125,0.7331992387771606,pit_s_224,softmax,pit_s_224-softmax
5,0.5,0.8028800472,0.4772071242332458,0.81092,0.858224175899125,0.7331992387771606,pit_s_224,softmax,pit_s_224-softmax
6,0.6000000000000001,0.7861917923999999,0.5006841421127319,0.81092,0.858224175899125,0.7331992387771606,pit_s_224,softmax,pit_s_224-softmax
7,0.7000000000000001,0.7624497184000001,0.5285953283309937,0.81092,0.858224175899125,0.7331992387771606,pit_s_224,softmax,pit_s_224-softmax
8,0.8,0.7362650104,0.5563385486602783,0.81092,0.858224175899125,0.7331992387771606,pit_s_224,softmax,pit_s_224-softmax
9,0.9,0.7004841223999999,0.5927464962005615,0.81092,0.858224175899125,0.7331992387771606,pit_s_224,softmax,pit_s_224-softmax
10,1.0,0.6021303924,0.6707252264022827,0.81092,0.858224175899125,0.7331992387771606,pit_s_224,softmax,pit_s_224-softmax
