severity level,percentile,ood-auroc,ood_avg_conf,id-acc,id-auroc,id_avg_conf,model name,confidence function,model name - confidence function
0,0.0,0.9328884904,-2.4815809726715092,0.81994,0.8670798811250161,-0.4664149880409241,pit_s_distilled_224,entropy,pit_s_distilled_224-entropy
1,0.09999999999999998,0.9157059048,-2.203113079071045,0.81994,0.8670798811250161,-0.4664149880409241,pit_s_distilled_224,entropy,pit_s_distilled_224-entropy
2,0.19999999999999996,0.9040392512,-2.0617239475250244,0.81994,0.8670798811250161,-0.4664149880409241,pit_s_distilled_224,entropy,pit_s_distilled_224-entropy
3,0.29999999999999993,0.892473638,-1.9210169315338133,0.81994,0.8670798811250161,-0.4664149880409241,pit_s_distilled_224,entropy,pit_s_distilled_224-entropy
4,0.3999999999999999,0.8766978796,-1.7904950380325315,0.81994,0.8670798811250161,-0.4664149880409241,pit_s_distilled_224,entropy,pit_s_distilled_224-entropy
5,0.5,0.8593431012,-1.639750599861145,0.81994,0.8670798811250161,-0.4664149880409241,pit_s_distilled_224,entropy,pit_s_distilled_224-entropy
6,0.6,0.8349407324,-1.4630378484725952,0.81994,0.8670798811250161,-0.4664149880409241,pit_s_distilled_224,entropy,pit_s_distilled_224-entropy
7,0.7,0.8156223532,-1.311332941055298,0.81994,0.8670798811250161,-0.4664149880409241,pit_s_distilled_224,entropy,pit_s_distilled_224-entropy
8,0.8,0.789119268,-1.1702696084976196,0.81994,0.8670798811250161,-0.4664149880409241,pit_s_distilled_224,entropy,pit_s_distilled_224-entropy
9,0.9,0.7487286248,-0.9811411499977112,0.81994,0.8670798811250161,-0.4664149880409241,pit_s_distilled_224,entropy,pit_s_distilled_224-entropy
10,1.0,0.6452855652,-0.6634779572486877,0.81994,0.8670798811250161,-0.4664149880409241,pit_s_distilled_224,entropy,pit_s_distilled_224-entropy
