severity level,percentile,ood-auroc,ood_avg_conf,id-acc,id-auroc,id_avg_conf,model name,confidence function,model name - confidence function
0,0.0,0.9521470648,9.936105728149414,0.80024,0.7635782828427403,17.88298988342285,regnet_y_8gf_torchvision,max_logit,regnet_y_8gf_torchvision-max_logit
1,0.1,0.9293359207999999,10.734869956970217,0.80024,0.7635782828427403,17.88298988342285,regnet_y_8gf_torchvision,max_logit,regnet_y_8gf_torchvision-max_logit
2,0.2,0.9097748856,11.247567176818848,0.80024,0.7635782828427403,17.88298988342285,regnet_y_8gf_torchvision,max_logit,regnet_y_8gf_torchvision-max_logit
3,0.30000000000000004,0.8889043687999999,11.773807525634766,0.80024,0.7635782828427403,17.88298988342285,regnet_y_8gf_torchvision,max_logit,regnet_y_8gf_torchvision-max_logit
4,0.4,0.8662701443999999,12.2299222946167,0.80024,0.7635782828427403,17.88298988342285,regnet_y_8gf_torchvision,max_logit,regnet_y_8gf_torchvision-max_logit
5,0.5,0.8465571744,12.628303527832033,0.80024,0.7635782828427403,17.88298988342285,regnet_y_8gf_torchvision,max_logit,regnet_y_8gf_torchvision-max_logit
6,0.6000000000000001,0.8206411243999999,13.073451042175293,0.80024,0.7635782828427403,17.88298988342285,regnet_y_8gf_torchvision,max_logit,regnet_y_8gf_torchvision-max_logit
7,0.7000000000000001,0.7938329888,13.514512062072756,0.80024,0.7635782828427403,17.88298988342285,regnet_y_8gf_torchvision,max_logit,regnet_y_8gf_torchvision-max_logit
8,0.8,0.7604389992,14.020435333251953,0.80024,0.7635782828427403,17.88298988342285,regnet_y_8gf_torchvision,max_logit,regnet_y_8gf_torchvision-max_logit
9,0.9,0.7097914231999999,14.736841201782227,0.80024,0.7635782828427403,17.88298988342285,regnet_y_8gf_torchvision,max_logit,regnet_y_8gf_torchvision-max_logit
10,1.0,0.59905715,16.360252380371097,0.80024,0.7635782828427403,17.88298988342285,regnet_y_8gf_torchvision,max_logit,regnet_y_8gf_torchvision-max_logit
