severity level,percentile,ood-auroc,ood_avg_conf,id-acc,id-auroc,id_avg_conf,model name,confidence function,model name - confidence function
0,0.0,0.9179927640000001,0.3500275909900665,0.79714,0.8745046544452714,0.8434128165245056,regnety_064,softmax,regnety_064-softmax
1,0.1,0.8916743184,0.4117919504642487,0.79714,0.8745046544452714,0.8434128165245056,regnety_064,softmax,regnety_064-softmax
2,0.2,0.8748969064,0.4482733905315399,0.79714,0.8745046544452714,0.8434128165245056,regnety_064,softmax,regnety_064-softmax
3,0.30000000000000004,0.862339538,0.4743320345878601,0.79714,0.8745046544452714,0.8434128165245056,regnety_064,softmax,regnety_064-softmax
4,0.4,0.8466349804000001,0.5030357241630554,0.79714,0.8745046544452714,0.8434128165245056,regnety_064,softmax,regnety_064-softmax
5,0.5,0.8326318051999999,0.5286778211593628,0.79714,0.8745046544452714,0.8434128165245056,regnety_064,softmax,regnety_064-softmax
6,0.6000000000000001,0.8167174084000001,0.5541942715644836,0.79714,0.8745046544452714,0.8434128165245056,regnety_064,softmax,regnety_064-softmax
7,0.7000000000000001,0.7988530144,0.581967294216156,0.79714,0.8745046544452714,0.8434128165245056,regnety_064,softmax,regnety_064-softmax
8,0.8,0.7752650908,0.6136829853057861,0.79714,0.8745046544452714,0.8434128165245056,regnety_064,softmax,regnety_064-softmax
9,0.9,0.741049162,0.6583178043365479,0.79714,0.8745046544452714,0.8434128165245056,regnety_064,softmax,regnety_064-softmax
10,1.0,0.6547098396,0.7433620095252991,0.79714,0.8745046544452714,0.8434128165245056,regnety_064,softmax,regnety_064-softmax
