severity level,percentile,ood-auroc,ood_avg_conf,id-acc,id-auroc,id_avg_conf,model name,confidence function,model name - confidence function
0,0.0,0.8940296692,-4.403946876525879,0.82942,0.7954037040107068,-2.492217302322388,regnety_160,entropy,regnety_160-entropy
1,0.09999999999999998,0.8693022676,-4.189930438995361,0.82942,0.7954037040107068,-2.492217302322388,regnety_160,entropy,regnety_160-entropy
2,0.19999999999999996,0.85271931,-4.075729370117188,0.82942,0.7954037040107068,-2.492217302322388,regnety_160,entropy,regnety_160-entropy
3,0.29999999999999993,0.839458262,-3.9797613620758057,0.82942,0.7954037040107068,-2.492217302322388,regnety_160,entropy,regnety_160-entropy
4,0.3999999999999999,0.8250870055999999,-3.8821380138397217,0.82942,0.7954037040107068,-2.492217302322388,regnety_160,entropy,regnety_160-entropy
5,0.5,0.8089985344,-3.773734331130981,0.82942,0.7954037040107068,-2.492217302322388,regnety_160,entropy,regnety_160-entropy
6,0.6,0.7911766576,-3.672141790390015,0.82942,0.7954037040107068,-2.492217302322388,regnety_160,entropy,regnety_160-entropy
7,0.7,0.7653253428,-3.5371623039245605,0.82942,0.7954037040107068,-2.492217302322388,regnety_160,entropy,regnety_160-entropy
8,0.8,0.739674728,-3.3885505199432373,0.82942,0.7954037040107068,-2.492217302322388,regnety_160,entropy,regnety_160-entropy
9,0.9,0.6999503283999999,-3.1984560489654537,0.82942,0.7954037040107068,-2.492217302322388,regnety_160,entropy,regnety_160-entropy
10,1.0,0.6083264568,-2.8239731788635254,0.82942,0.7954037040107068,-2.492217302322388,regnety_160,entropy,regnety_160-entropy
