severity level,percentile,ood-auroc,ood_avg_conf,id-acc,id-auroc,id_avg_conf,model name,confidence function,model name - confidence function
0,0.0,0.9406367256,9.98165225982666,0.75148,0.7665586135681471,18.115840911865234,repvgg_b0,max_logit,repvgg_b0-max_logit
1,0.1,0.9107640376,10.925905227661133,0.75148,0.7665586135681471,18.115840911865234,repvgg_b0,max_logit,repvgg_b0-max_logit
2,0.2,0.8894737751999999,11.5001802444458,0.75148,0.7665586135681471,18.115840911865234,repvgg_b0,max_logit,repvgg_b0-max_logit
3,0.30000000000000004,0.867849428,12.001391410827635,0.75148,0.7665586135681471,18.115840911865234,repvgg_b0,max_logit,repvgg_b0-max_logit
4,0.4,0.8440831744,12.489156723022461,0.75148,0.7665586135681471,18.115840911865234,repvgg_b0,max_logit,repvgg_b0-max_logit
5,0.5,0.8163138144,13.010769844055176,0.75148,0.7665586135681471,18.115840911865234,repvgg_b0,max_logit,repvgg_b0-max_logit
6,0.6000000000000001,0.7875556131999999,13.515740394592285,0.75148,0.7665586135681471,18.115840911865234,repvgg_b0,max_logit,repvgg_b0-max_logit
7,0.7000000000000001,0.7533476848,14.088434219360352,0.75148,0.7665586135681471,18.115840911865234,repvgg_b0,max_logit,repvgg_b0-max_logit
8,0.8,0.718568854,14.65424919128418,0.75148,0.7665586135681471,18.115840911865234,repvgg_b0,max_logit,repvgg_b0-max_logit
9,0.9,0.6656137320000001,15.44581127166748,0.75148,0.7665586135681471,18.115840911865234,repvgg_b0,max_logit,repvgg_b0-max_logit
10,1.0,0.5414546856,17.352855682373047,0.75148,0.7665586135681471,18.115840911865234,repvgg_b0,max_logit,repvgg_b0-max_logit
