severity level,percentile,ood-auroc,ood_avg_conf,id-acc,id-auroc,id_avg_conf,model name,confidence function,model name - confidence function
0,0.0,0.8925285087999999,0.33402714133262634,0.75148,0.8649960392339063,0.7880372405052185,repvgg_b0,softmax,repvgg_b0-softmax
1,0.1,0.8656499312,0.3860510885715485,0.75148,0.8649960392339063,0.7880372405052185,repvgg_b0,softmax,repvgg_b0-softmax
2,0.2,0.8482711843999999,0.4179077446460724,0.75148,0.8649960392339063,0.7880372405052185,repvgg_b0,softmax,repvgg_b0-softmax
3,0.30000000000000004,0.8326370531999999,0.44384539127349854,0.75148,0.8649960392339063,0.7880372405052185,repvgg_b0,softmax,repvgg_b0-softmax
4,0.4,0.8181507756,0.466969221830368,0.75148,0.8649960392339063,0.7880372405052185,repvgg_b0,softmax,repvgg_b0-softmax
5,0.5,0.8030155915999999,0.4906087815761566,0.75148,0.8649960392339063,0.7880372405052185,repvgg_b0,softmax,repvgg_b0-softmax
6,0.6000000000000001,0.7857327248,0.5158039927482605,0.75148,0.8649960392339063,0.7880372405052185,repvgg_b0,softmax,repvgg_b0-softmax
7,0.7000000000000001,0.7662840492,0.541606068611145,0.75148,0.8649960392339063,0.7880372405052185,repvgg_b0,softmax,repvgg_b0-softmax
8,0.8,0.7408098736,0.5738937854766846,0.75148,0.8649960392339063,0.7880372405052185,repvgg_b0,softmax,repvgg_b0-softmax
9,0.9,0.7059579236,0.6177449822425842,0.75148,0.8649960392339063,0.7880372405052185,repvgg_b0,softmax,repvgg_b0-softmax
10,1.0,0.6208191216,0.7050504684448242,0.75148,0.8649960392339063,0.7880372405052185,repvgg_b0,softmax,repvgg_b0-softmax
