severity level,percentile,ood-auroc,ood_avg_conf,id-acc,id-auroc,id_avg_conf,model name,confidence function,model name - confidence function
0,0.0,0.9296129928,-2.7884137630462646,0.78786,0.8610728208789364,-0.5211779475212097,repvgg_b2,entropy,repvgg_b2-entropy
1,0.09999999999999998,0.9064078192,-2.3980329036712646,0.78786,0.8610728208789364,-0.5211779475212097,repvgg_b2,entropy,repvgg_b2-entropy
2,0.19999999999999996,0.8894793104,-2.1981916427612305,0.78786,0.8610728208789364,-0.5211779475212097,repvgg_b2,entropy,repvgg_b2-entropy
3,0.29999999999999993,0.8766742408,-2.0281517505645748,0.78786,0.8610728208789364,-0.5211779475212097,repvgg_b2,entropy,repvgg_b2-entropy
4,0.3999999999999999,0.8597089068,-1.8736127614974976,0.78786,0.8610728208789364,-0.5211779475212097,repvgg_b2,entropy,repvgg_b2-entropy
5,0.5,0.8449823428,-1.742761731147766,0.78786,0.8610728208789364,-0.5211779475212097,repvgg_b2,entropy,repvgg_b2-entropy
6,0.6,0.8279305672,-1.6034200191497805,0.78786,0.8610728208789364,-0.5211779475212097,repvgg_b2,entropy,repvgg_b2-entropy
7,0.7,0.8057323876,-1.467989206314087,0.78786,0.8610728208789364,-0.5211779475212097,repvgg_b2,entropy,repvgg_b2-entropy
8,0.8,0.7806913268,-1.3250846862792969,0.78786,0.8610728208789364,-0.5211779475212097,repvgg_b2,entropy,repvgg_b2-entropy
9,0.9,0.7467136988,-1.1458556652069092,0.78786,0.8610728208789364,-0.5211779475212097,repvgg_b2,entropy,repvgg_b2-entropy
10,1.0,0.6604589156,-0.8148946166038513,0.78786,0.8610728208789364,-0.5211779475212097,repvgg_b2,entropy,repvgg_b2-entropy
