severity level,percentile,ood-auroc,ood_avg_conf,id-acc,id-auroc,id_avg_conf,model name,confidence function,model name - confidence function
0,0.0,0.919537246,-4.2255191802978525,0.79392,0.8223752875307304,-1.2234460115432741,repvgg_b2g4,entropy,repvgg_b2g4-entropy
1,0.09999999999999998,0.89433726,-3.887917518615722,0.79392,0.8223752875307304,-1.2234460115432741,repvgg_b2g4,entropy,repvgg_b2g4-entropy
2,0.19999999999999996,0.879078128,-3.696233034133911,0.79392,0.8223752875307304,-1.2234460115432741,repvgg_b2g4,entropy,repvgg_b2g4-entropy
3,0.29999999999999993,0.865435138,-3.5554239749908447,0.79392,0.8223752875307304,-1.2234460115432741,repvgg_b2g4,entropy,repvgg_b2g4-entropy
4,0.3999999999999999,0.850520338,-3.4035916328430176,0.79392,0.8223752875307304,-1.2234460115432741,repvgg_b2g4,entropy,repvgg_b2g4-entropy
5,0.5,0.8344676896000001,-3.2496128082275386,0.79392,0.8223752875307304,-1.2234460115432741,repvgg_b2g4,entropy,repvgg_b2g4-entropy
6,0.6,0.8160340215999999,-3.065805673599243,0.79392,0.8223752875307304,-1.2234460115432741,repvgg_b2g4,entropy,repvgg_b2g4-entropy
7,0.7,0.794162264,-2.865419626235962,0.79392,0.8223752875307304,-1.2234460115432741,repvgg_b2g4,entropy,repvgg_b2g4-entropy
8,0.8,0.7658011071999999,-2.63294529914856,0.79392,0.8223752875307304,-1.2234460115432741,repvgg_b2g4,entropy,repvgg_b2g4-entropy
9,0.9,0.728732708,-2.3416578769683842,0.79392,0.8223752875307304,-1.2234460115432741,repvgg_b2g4,entropy,repvgg_b2g4-entropy
10,1.0,0.6358715656,-1.7546851634979248,0.79392,0.8223752875307304,-1.2234460115432741,repvgg_b2g4,entropy,repvgg_b2g4-entropy
