severity level,percentile,ood-auroc,ood_avg_conf,id-acc,id-auroc,id_avg_conf,model name,confidence function,model name - confidence function
0,0.0,0.894546482,-3.8201324939727774,0.78236,0.8100664355903019,-1.512791872024536,res2next50,entropy,res2next50-entropy
1,0.09999999999999998,0.867928198,-3.527817487716675,0.78236,0.8100664355903019,-1.512791872024536,res2next50,entropy,res2next50-entropy
2,0.19999999999999996,0.852533368,-3.377960681915283,0.78236,0.8100664355903019,-1.512791872024536,res2next50,entropy,res2next50-entropy
3,0.29999999999999993,0.8365686236000001,-3.2519872188568115,0.78236,0.8100664355903019,-1.512791872024536,res2next50,entropy,res2next50-entropy
4,0.3999999999999999,0.81884197,-3.1260895729064937,0.78236,0.8100664355903019,-1.512791872024536,res2next50,entropy,res2next50-entropy
5,0.5,0.8019053568,-2.988630533218384,0.78236,0.8100664355903019,-1.512791872024536,res2next50,entropy,res2next50-entropy
6,0.6,0.7806745168,-2.831751823425293,0.78236,0.8100664355903019,-1.512791872024536,res2next50,entropy,res2next50-entropy
7,0.7,0.7608091444,-2.6900393962860107,0.78236,0.8100664355903019,-1.512791872024536,res2next50,entropy,res2next50-entropy
8,0.8,0.7328283648,-2.5152859687805176,0.78236,0.8100664355903019,-1.512791872024536,res2next50,entropy,res2next50-entropy
9,0.9,0.6974335,-2.301614761352539,0.78236,0.8100664355903019,-1.512791872024536,res2next50,entropy,res2next50-entropy
10,1.0,0.6129898992,-1.8877512216567995,0.78236,0.8100664355903019,-1.512791872024536,res2next50,entropy,res2next50-entropy
