severity level,percentile,ood-auroc,ood_avg_conf,id-acc,id-auroc,id_avg_conf,model name,confidence function,model name - confidence function
0,0.0,0.9130834396,-4.024576187133788,0.8104,0.830433871797435,-1.7288360595703125,resmlp_big_24_224,entropy,resmlp_big_24_224-entropy
1,0.09999999999999998,0.8950340424000001,-3.805166959762573,0.8104,0.830433871797435,-1.7288360595703125,resmlp_big_24_224,entropy,resmlp_big_24_224-entropy
2,0.19999999999999996,0.8814651612,-3.66338562965393,0.8104,0.830433871797435,-1.7288360595703125,resmlp_big_24_224,entropy,resmlp_big_24_224-entropy
3,0.29999999999999993,0.8691745188,-3.542224407196045,0.8104,0.830433871797435,-1.7288360595703125,resmlp_big_24_224,entropy,resmlp_big_24_224-entropy
4,0.3999999999999999,0.8550976096,-3.415446758270264,0.8104,0.830433871797435,-1.7288360595703125,resmlp_big_24_224,entropy,resmlp_big_24_224-entropy
5,0.5,0.8358144376,-3.2617921829223637,0.8104,0.830433871797435,-1.7288360595703125,resmlp_big_24_224,entropy,resmlp_big_24_224-entropy
6,0.6,0.8164899808,-3.104663372039795,0.8104,0.830433871797435,-1.7288360595703125,resmlp_big_24_224,entropy,resmlp_big_24_224-entropy
7,0.7,0.791793738,-2.93094539642334,0.8104,0.830433871797435,-1.7288360595703125,resmlp_big_24_224,entropy,resmlp_big_24_224-entropy
8,0.8,0.7629088896,-2.7373712062835693,0.8104,0.830433871797435,-1.7288360595703125,resmlp_big_24_224,entropy,resmlp_big_24_224-entropy
9,0.9,0.7229109532,-2.501134157180786,0.8104,0.830433871797435,-1.7288360595703125,resmlp_big_24_224,entropy,resmlp_big_24_224-entropy
10,1.0,0.6261932271999999,-2.0597803592681885,0.8104,0.830433871797435,-1.7288360595703125,resmlp_big_24_224,entropy,resmlp_big_24_224-entropy
