severity level,percentile,ood-auroc,ood_avg_conf,id-acc,id-auroc,id_avg_conf,model name,confidence function,model name - confidence function
0,0.0,0.9278587036,0.30930060148239136,0.84524,0.8603370335420324,0.7575935125350952,resnest269e,softmax,resnest269e-softmax
1,0.1,0.9065708948000001,0.3658454418182373,0.84524,0.8603370335420324,0.7575935125350952,resnest269e,softmax,resnest269e-softmax
2,0.2,0.8873738108,0.4030095338821411,0.84524,0.8603370335420324,0.7575935125350952,resnest269e,softmax,resnest269e-softmax
3,0.30000000000000004,0.8693098268,0.4401183724403381,0.84524,0.8603370335420324,0.7575935125350952,resnest269e,softmax,resnest269e-softmax
4,0.4,0.8540955052,0.4705691933631897,0.84524,0.8603370335420324,0.7575935125350952,resnest269e,softmax,resnest269e-softmax
5,0.5,0.8408490724,0.4930528402328491,0.84524,0.8603370335420324,0.7575935125350952,resnest269e,softmax,resnest269e-softmax
6,0.6000000000000001,0.8256077116,0.5151275992393494,0.84524,0.8603370335420324,0.7575935125350952,resnest269e,softmax,resnest269e-softmax
7,0.7000000000000001,0.8095517436,0.5379015803337097,0.84524,0.8603370335420324,0.7575935125350952,resnest269e,softmax,resnest269e-softmax
8,0.8,0.7845733648000001,0.5663290619850159,0.84524,0.8603370335420324,0.7575935125350952,resnest269e,softmax,resnest269e-softmax
9,0.9,0.7482525940000001,0.604534387588501,0.84524,0.8603370335420324,0.7575935125350952,resnest269e,softmax,resnest269e-softmax
10,1.0,0.6298739356,0.6878397464752197,0.84524,0.8603370335420324,0.7575935125350952,resnest269e,softmax,resnest269e-softmax
