severity level,percentile,ood-auroc,ood_avg_conf,id-acc,id-auroc,id_avg_conf,model name,confidence function,model name - confidence function
0,0.0,0.9380219448,0.08327677100896835,0.77378,0.8362034288426099,0.5396547317504883,resnet101_torchvision,odin_temperature-2_noise_mag-1e-05,resnet101_torchvision-odin_temperature-2_noise_mag-1e-05
1,0.1,0.9131167592,0.10825176537036896,0.77378,0.8362034288426099,0.5396547317504883,resnet101_torchvision,odin_temperature-2_noise_mag-1e-05,resnet101_torchvision-odin_temperature-2_noise_mag-1e-05
2,0.2,0.8976658992000001,0.12359250336885452,0.77378,0.8362034288426099,0.5396547317504883,resnet101_torchvision,odin_temperature-2_noise_mag-1e-05,resnet101_torchvision-odin_temperature-2_noise_mag-1e-05
3,0.30000000000000004,0.8814599087999999,0.13989731669425964,0.77378,0.8362034288426099,0.5396547317504883,resnet101_torchvision,odin_temperature-2_noise_mag-1e-05,resnet101_torchvision-odin_temperature-2_noise_mag-1e-05
4,0.4,0.8649481640000001,0.1565922051668167,0.77378,0.8362034288426099,0.5396547317504883,resnet101_torchvision,odin_temperature-2_noise_mag-1e-05,resnet101_torchvision-odin_temperature-2_noise_mag-1e-05
5,0.5,0.8465691888,0.17503581941127774,0.77378,0.8362034288426099,0.5396547317504883,resnet101_torchvision,odin_temperature-2_noise_mag-1e-05,resnet101_torchvision-odin_temperature-2_noise_mag-1e-05
6,0.6000000000000001,0.8285859543999999,0.19336695969104767,0.77378,0.8362034288426099,0.5396547317504883,resnet101_torchvision,odin_temperature-2_noise_mag-1e-05,resnet101_torchvision-odin_temperature-2_noise_mag-1e-05
7,0.7000000000000001,0.8043644928,0.21830011904239652,0.77378,0.8362034288426099,0.5396547317504883,resnet101_torchvision,odin_temperature-2_noise_mag-1e-05,resnet101_torchvision-odin_temperature-2_noise_mag-1e-05
8,0.8,0.7740313456,0.2500218451023102,0.77378,0.8362034288426099,0.5396547317504883,resnet101_torchvision,odin_temperature-2_noise_mag-1e-05,resnet101_torchvision-odin_temperature-2_noise_mag-1e-05
9,0.9,0.7310017987999999,0.295288622379303,0.77378,0.8362034288426099,0.5396547317504883,resnet101_torchvision,odin_temperature-2_noise_mag-1e-05,resnet101_torchvision-odin_temperature-2_noise_mag-1e-05
10,1.0,0.6281245532,0.40530484914779663,0.77378,0.8362034288426099,0.5396547317504883,resnet101_torchvision,odin_temperature-2_noise_mag-1e-05,resnet101_torchvision-odin_temperature-2_noise_mag-1e-05
