severity level,percentile,ood-auroc,ood_avg_conf,id-acc,id-auroc,id_avg_conf,model name,confidence function,model name - confidence function
0,0.0,0.9012856224,0.353698194026947,0.77372,0.8676023502515473,0.8226543664932251,resnet101_torchvision,softmax,resnet101_torchvision-softmax
1,0.1,0.8761628276000001,0.409730076789856,0.77372,0.8676023502515473,0.8226543664932251,resnet101_torchvision,softmax,resnet101_torchvision-softmax
2,0.2,0.8588108076000001,0.44388294219970703,0.77372,0.8676023502515473,0.8226543664932251,resnet101_torchvision,softmax,resnet101_torchvision-softmax
3,0.30000000000000004,0.8438907924,0.4709339141845703,0.77372,0.8676023502515473,0.8226543664932251,resnet101_torchvision,softmax,resnet101_torchvision-softmax
4,0.4,0.8291468764,0.4978881776332855,0.77372,0.8676023502515473,0.8226543664932251,resnet101_torchvision,softmax,resnet101_torchvision-softmax
5,0.5,0.8160269724,0.5191693902015686,0.77372,0.8676023502515473,0.8226543664932251,resnet101_torchvision,softmax,resnet101_torchvision-softmax
6,0.6000000000000001,0.7987730136,0.5461488366127014,0.77372,0.8676023502515473,0.8226543664932251,resnet101_torchvision,softmax,resnet101_torchvision-softmax
7,0.7000000000000001,0.7800500148,0.5736163258552551,0.77372,0.8676023502515473,0.8226543664932251,resnet101_torchvision,softmax,resnet101_torchvision-softmax
8,0.8,0.7583099879999999,0.6034250855445862,0.77372,0.8676023502515473,0.8226543664932251,resnet101_torchvision,softmax,resnet101_torchvision-softmax
9,0.9,0.7213084668,0.6500176191329956,0.77372,0.8676023502515473,0.8226543664932251,resnet101_torchvision,softmax,resnet101_torchvision-softmax
10,1.0,0.6373434952,0.7352851629257202,0.77372,0.8676023502515473,0.8226543664932251,resnet101_torchvision,softmax,resnet101_torchvision-softmax
