severity level,percentile,ood-auroc,ood_avg_conf,id-acc,id-auroc,id_avg_conf,model name,confidence function,model name - confidence function
0,0.0,0.8802351824,6.57879114151001,0.8333799999999999,0.7751235761549964,8.389064788818361,resnet200d,max_logit,resnet200d-max_logit
1,0.1,0.851772876,6.823967933654785,0.8333799999999999,0.7751235761549964,8.389064788818361,resnet200d,max_logit,resnet200d-max_logit
2,0.2,0.8373404752,6.946413040161133,0.8333799999999999,0.7751235761549964,8.389064788818361,resnet200d,max_logit,resnet200d-max_logit
3,0.30000000000000004,0.8221855852,7.057448863983153,0.8333799999999999,0.7751235761549964,8.389064788818361,resnet200d,max_logit,resnet200d-max_logit
4,0.4,0.8049698008,7.1741881370544425,0.8333799999999999,0.7751235761549964,8.389064788818361,resnet200d,max_logit,resnet200d-max_logit
5,0.5,0.7868086392,7.283573627471924,0.8333799999999999,0.7751235761549964,8.389064788818361,resnet200d,max_logit,resnet200d-max_logit
6,0.6000000000000001,0.7720619492,7.379899501800537,0.8333799999999999,0.7751235761549964,8.389064788818361,resnet200d,max_logit,resnet200d-max_logit
7,0.7000000000000001,0.7497960056,7.493253231048584,0.8333799999999999,0.7751235761549964,8.389064788818361,resnet200d,max_logit,resnet200d-max_logit
8,0.8,0.725585,7.617286682128906,0.8333799999999999,0.7751235761549964,8.389064788818361,resnet200d,max_logit,resnet200d-max_logit
9,0.9,0.6867075112000001,7.78068733215332,0.8333799999999999,0.7751235761549964,8.389064788818361,resnet200d,max_logit,resnet200d-max_logit
10,1.0,0.5979906744,8.083049774169924,0.8333799999999999,0.7751235761549964,8.389064788818361,resnet200d,max_logit,resnet200d-max_logit
